Plant Species,Completed,Stopping Point,Synonyms,Family,Cultivated/Invasive?,Color,Fleshy/Dry,Dehiscent/Indehiscent,Number SeedsFruit,NS Uncertainty,NS Lower Bound,NS Upper Bound,NS +/-,NS Sample Size,Seed Length (mm),SLength Uncertainty,SLength Lower Bound,SLength Upper Bound,SLength +/-,SLength Sample Size,Seed Width (mm),SWidth Uncertainty,SWidth Lower Bound,SWidth Upper Bound,SWidth +/-,SWidth Sample Size,Seed Mass (g),Dry/Wet,SMass Uncertainty,SMass Lower Bound,SMass Upper Bound,SMass +/-,SMass Sample Size,Fruit Length (mm),FLength Uncertainty,FLength Lower Bound,FLength Upper Bound,FLength +/-,FLength Sample Size,Fruit Width (mm),FWidth Uncertainty,FWidth Lower Bound,FWidth Upper Bound,FWidth +/-,FWidth Sample Size,Fruit Mass (g),Dry/Wet_1,FMass Uncertainty,FMass Lower Bound,FMass Upper Bound,FMass +/-,FMass Sample Size,Herbarium Citations,Column1
Acanthococos emensis,0,,Acrocomia emensis,Arecaceae,N,Green,D,I,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,0,20,,,,,0,,,,,,,,https://eol.org/pages/31147028/data,
Agonandra silvatica,0,,,Opiliaceae,N,Yellow,F,I,,,,,,,,,,,,,,,,,,,,,,,,,,17.75,SD,,,2.333452378,2,10.45,SD,,,1.060660172,2,,,,,,,,http://legacy.tropicos.org/Image/100902838,
Alchorneopsis floribunda,0,,Alchorneopsis portoricensis,Euphorbiaceae,N,Brown,F,D,,,,,,,5.2,None Specified,,,,1,3.1,SD,,,0.141421356,2,0.007,NA,None Specified,,,,16455,,,,,,,,,,,,,,,,,,,,http://specimens.kew.org/herbarium/K001206125,
Alchorneopsis floribunda,0,,,,,,,,,,,,,,,Range,2.2,2.5,,0,,Range,2,2.5,,0,0.007,NA,None Specified,,,,16455,,,,,,,,,,,,,,,,,,,,"Tokuka 2003, http://specimens.kew.org/herbarium/K001206125",
Aloe aculeata,0,,NA,Asphodelaceae,Y,Orange,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,18,None Specified,,,,0,10,None Specified,,,,0,,,,,,,,https://www.abebooks.com/book-search/title/aloes-south-africa/author/reynolds/,
Ambrosia tenuifolia,0,,"Franseria tenuifolia, Gaertneria tenuifolia, Ambrosia fruticosa, Ambrosia longistylis, Ambrosia maritima, Ambrosia simulans, Xanthidium tenuifolium",Asteraceae,N,Yellow,D,I,,,,,,,,,,,,,,,,,,,0.0053,D,None Specified,,,,0,3,None Specified,,,,0,3,None Specified,,,,3,,,,,,,,"Kattge 2011, http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=101325",
Andira surinamensis,0,,"Geoffroea surinamensis, Vouacapoua surinamensis, Andira retusa, Geoffroea retusa, Andira oblonga, Geoffroea obtusifolia, Geoffroea pubescens, Geoffroea retusa, Vouacapoa retusa",Fabaceae,N,Green,F,I,,Range,2,3,,0,,Range,20,35,,0,,Range,15,25,,0,,,,,,,,,Range,40,60,,0,,Range,20,38,,0,20,D,None Specified,,,,0,"Pennington 2003, Ramos et al. 2020, Polak 1992",
Annona duckei,0,,,Annonaceae,,,F,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocaryum aculeatissimum,0,,,Arecaceae,Y,Brown,F,I,1,None Specified,,,,0,42.7,None Specified,,,,0,28.8,None Specified,,,,0,17.36,NA,None Specified,,,,0,47.9,None Specified,,,,0,32.2,None Specified,,,,0,28.7,NA,None Specified,,,,0,"Galetti 2011, Galetti 2015, Guimarães 2008, Kissling 2019, Donatti 2009",
Astrocaryum aculeatissimum,0,,,,,,,,1,None Specified,,,,0,42.7,None Specified,,,,0,28.8,None Specified,,,,0,13.252,W,SD,,,3.96,15,40,None Specified,,,,0,35,None Specified,,,,0,55.6,NA,None Specified,,,,0,"Galetti 2011, Galetti 2015, Guimarães 2008, Kissling 2019, Donatti 2009",
Astrocaryum aculeatissimum,0,,,,,,,,1,None Specified,,,,0,42.7,None Specified,,,,0,28.8,None Specified,,,,0,13.252,W,SD,,,3.96,15,,Range,50,60,,0,,Range,30,40,,0,55.6,NA,None Specified,,,,0,"Galetti 2011, Galetti 2015, Guimarães 2008, Kissling 2019, Donatti 2009",
Astrocaryum aculeatissimum,0,,,,,,,,1,None Specified,,,,12.5,42.7,None Specified,,,,0,28.8,None Specified,,,,0,13.252,W,SD,,,3.96,15,60,None Specified,,,,12.5,35,None Specified,,,,12.5,29.5,NA,None Specified,,,,12.5,"Galetti 2011, Galetti 2015, Guimarães 2008, Kissling 2019, Donatti 2009",
Astrocaryum alatum,0,,Hexopetion alatum,Arecaceae,N,Green/Brown,F,I,1,None Specified,,,,1,60,None Specified,,,,104,40,None Specified,,,,104,25.1,NA,SD,,,4.5,104,26,None Specified,,,,0,18,None Specified,,,,0,,,,,,,,"Kissling 2019, Kuprewicz 2013, Loomis 1939",
Astrocaryum paramaca,0,,"Astrocaryum acanthopodium, Bactris paraensis",Arecaceae,N,Orange,F,I,,,,,,,,,,,,,,,,,,,,NA,Range,4,6,,0,,Range,35,40,,0,,Range,20,25,,0,3.8,NA,None Specified,,,,0,"Forget unpublished, Brewer 1999, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/brazilian-flora-lorenzi-arecaceae-palms/oclc/648879292, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458 ",
Astrocaryum paramaca,0,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Range,4,6,,0,40,None Specified,,,,0,,Range,20,25,,0,3.8,NA,None Specified,,,,0,"Forget unpublished, Brewer 1999, https://press.princeton.edu/books/hardcover/9780691656120/field-guide-to-the-palms-of-the-americas, https://www.worldcat.org/title/brazilian-flora-lorenzi-arecaceae-palms/oclc/648879292, https://www.worldcat.org/title/evolution-and-ecology-of-palms/oclc/50064458 ",
