Plant Species,Citations
Abuta grandifolia,
Abuta selloana ,
Acalypha alopecuroidea,"Kirkbride, J. H., Jr., Gunn, C. R., & Dallwitz, M. J. (2021, April 12). Family guide for fruits and seeds: descriptions, illustrations, identification, and information retrieval. Retrieved January 24, 2024, from delta-intkey.com"
Acanthococos emensis,
Acca sellowiana,"F. W. Schumacher Co., Inc. (2024). Feijoa sellowiana (1000=.05 oz.). Retrieved January 24, 2024, from https://www.treeshrubseeds.com/specieslist?id=667&ID2=7"
Aciotis aequatorialis,
Acrocomia aculeata,
Aechmea rubiginosa,
Agonandra brasiliensis,
Agonandra silvatica,Tropicos.org. Missouri Botanical Garden. 20 Nov 2024 http://legacy.tropicos.org/Image/100902838 CC-BY-NC-SA
Alchorneopsis floribunda,http://specimens.kew.org/herbarium/K001206125
Alibertia edulis,
Alibertia hadrantha,
Allagoptera leucocalyx,http://specimens.kew.org/herbarium/K000652778
Allophylus mollis,
Aloe aculeata,
Amaioua guianensis,"Mori, S. A. & Prance, G. T. (2024). Taxon details: Couroupita guianensis Aubl. Retrieved January 24, 2024, from https://sweetgum.nybg.org/science/projects/lp/taxon-details/?irn=133473"
Ambelania acida,
Ambrosia tenuifolia,
Anacardium giganteum,
Anacardium spruceanum,
Ananas ananassoides,
Andira surinamensis,
Annona cornifolia,
Annona dioica,
Annona duckei,
Annona haematantha,
Anomospermum reticulatum,Tropicos.org. Missouri Botanical Garden. 23 Jan 2024 http://www.tropicos.org/Image/101332957 Photographer: Illustrator: Álvaro Fernández CC-BY-NC-SA
Anthurium crassinervium,Tropicos.org. Missouri Botanical Garden. 23 Jan 2024 http://www.tropicos.org/Image/101169850 Photographer: MBG CC-BY-NC-SA
Anthurium harrisii,
Apeiba aspera,
Araucaria angustifolia,
Artocarpus heterophyllus,
Astrocaryum aculeatissimum,
Astrocaryum aculeatum,http://specimens.kew.org/herbarium/K000652769
Astrocaryum alatum,
Astrocaryum chambira,
Astrocaryum jauari,
Astrocaryum murumuru,
Astrocaryum paramaca,
Astrocaryum standleyanum,
Attalea butyracea,https://db.fieldmuseum.org/e3f1987b-e739-4e9c-93f8-7cf0ec4a5890. FMNH1823365. Field Museum of Natural History.
Attalea dubia,
Attalea maripa,
Attalea oleifera,
Attalea phalerata,
Avicennia germinans,"Kirkbride, J. H., Jr., Gunn, C. R., & Dallwitz, M. J. (2021, April 12). Family guide for fruits and seeds: descriptions, illustrations, identification, and information retrieval. Retrieved January 24, 2024, from delta-intkey.com"
Bactris acanthocarpa,
Bactris gasipaes,
Bagassa guianensis,
Barcella odora,
Batocarpus orinocensis,"https://db.fieldmuseum.org/61b67d38-c727-471b-b720-49904c9b9ba7. FMNH396737. Field Museum of Natural History.
https://db.fieldmuseum.org/685a1aa1-602e-4151-86f9-3d6fb2800cf7. FMNH2890766. Field Museum of Natural History."
Bellucia grossularioides,
Bellucia pentamera,http://specimens.kew.org/herbarium/K000537018
Bertholletia excelsa,
Bocageopsis multiflora,
Bombax spectabile,https://db.fieldmuseum.org/08f2972d-b8ba-4472-b334-2f9fa37cc4de. FMNH1822751. Field Museum of Natural History.
Borreria latifolia,"Weed Identification and Knowledge in the Tropical and Mediterranean areas (WIKTROP). (n.d.). Spermacoce latifolia Aubl. Retrieved November 22, 2024, from https://portal.wiktrop.org/species/show/360553#description"
Bromelia balansae,
Bromelia plumieri,
Brosimum alicastrum,
Brosimum guianensis,
Brosimum lactescens,
Brosimum parinarioides,
Brosiumum rubescens,
Buchenavia amazonia,
Buchenavia grandis,
Buchenavia oxycarpa,Tropicos.org. Missouri Botanical Garden. 22 Nov 2024 https://tropicos.org/specimen/3178842
Buchenavia parvifolia,
Buchenavia tomentosa,Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 https://tropicos.org/image/100502487
Bursera inversa,
Byrsonima arthropoda,Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 http://www.tropicos.org/Image/86272 CC-BY-NC-SA
Byrsonima cowanii,
Byrsonima crispa,
Byrsonima gardneriana,
Byrsonima orbignyana,
Byrsonima schomburgkiana,
Byrsonima stipulacea,https://db.fieldmuseum.org/01047248-05ad-4a23-a93d-9ce26574b09a. FMNH2907823. Field Museum of Natural History.
Calyptranthes multiflora,http://specimens.kew.org/herbarium/K000330847
Campomanesia guaviroba,
Campomanesia neriiflora,
Campomanesia speciosa,https://db.fieldmuseum.org/555b0a7b-9011-4307-8822-9403877cfbc7. FMNH302798. Field Museum of Natural History.
Carapa guianensis,"Tropicos.org. Missouri Botanical Garden. 10 Dec 2024 http://legacy.tropicos.org/Image/70542 CC-BY-NC-SA
Tropicos.org. Missouri Botanical Garden. 10 Dec 2024 http://legacy.tropicos.org/Image/100507222 Photographer: MBG CC-BY-NC-SA"
Carapa procera,
Carica microcarpa,"https://db.fieldmuseum.org/1baaa98e-6958-4c25-be12-10e5a45d89a8. FMNH326756. Field Museum of Natural History.
Tropicos.org. Missouri Botanical Garden. 10 Dec 2024 http://legacy.tropicos.org/Image/43706 Photographer: MBG CC-BY-NC-SA"
Caryocar brasiliense,
Caryocar glabrum,Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 http://www.tropicos.org/Image/101236567 CC-BY-NC-SA
Casearia lasiophylla,
Casearia macrocarpa,http://specimens.kew.org/herbarium/K000591407
Cassia moschata,"Cassia moschata - Benth. (n.d.). Retrieved December 10, 2024, from https://pfaf.org/user/Plant.aspx?LatinName=Cassia+moschata"
Castilla ulei,
Catostemma fragrans,
Cayaponia granatensis,
Cayaponia ophthalmica,"REFLORA. (n.d.). Brazilian plants: historic rescue and virtual herbarium for knowledge and conservation of the Brazilian flora. Retrieved December 10, 2024, from https://floradobrasil.jbrj.gov.br/reflora/PrincipalUC/PrincipalUC.do;jsessionid=403555A5E10B6B821F29DC4244DFCE60"
Cecropia angustifolia,http://specimens.kew.org/herbarium/K000512348
Cecropia cinerea,
Cecropia engleriana,
Cecropia glaziovi,
Cecropia hololeuca,"http://specimens.kew.org/herbarium/K000512371
http://specimens.kew.org/herbarium/K000512370
http://specimens.kew.org/herbarium/K000973625
http://specimens.kew.org/herbarium/K000973621
http://specimens.kew.org/herbarium/K000973627
http://specimens.kew.org/herbarium/K000973615
http://specimens.kew.org/herbarium/K000973616
http://specimens.kew.org/herbarium/K000973619
http://specimens.kew.org/herbarium/K000973622
http://specimens.kew.org/herbarium/K000973628"
Cecropia membranacea,Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 http://www.tropicos.org/Image/100755841 Photographer: MBG CC-BY-NC-SA
Cecropia mutisiana,https://db.fieldmuseum.org/69381480-594b-46fe-bf56-b222697aaec6. FMNH2933044. Field Museum of Natural History.
Cecropia obtusa,
Cecropia obtusifolia,Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 http://www.tropicos.org/Image/81182 CC-BY-NC-SA
Cecropia pachystachya,
Cecropia purpurascens,https://db.fieldmuseum.org/00fc499f-d633-4742-a721-1f8ef6fa24ec. FMNH277246. Field Museum of Natural History.
Cecropia sciadophylla,
Cecropia telealba,https://db.fieldmuseum.org/167a27eb-8566-4914-a6f2-36d01defe6cc. FMNH277315. Field Museum of Natural History.
Cecropia telenitida,https://db.fieldmuseum.org/d6afc853-1113-42d9-9e39-08f644a9eea5. FMNH2940296. Field Museum of Natural History.
Ceiba pentandra,Tropicos.org. Missouri Botanical Garden. 10 Dec 2024 http://legacy.tropicos.org/Image/4562 Photographer: MBG CC-BY-NC-SA
Celtis schippii,https://db.fieldmuseum.org/d2668dec-2b50-49a6-bfbb-4a0a67d727e1. FMNH318312. Field Museum of Natural History.
Cestrum racemosum,
Cheiloclinium hippocrateoides,"Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 http://www.tropicos.org/Image/100495296 Photographer: Barry Hammel (scan) CC-BY-NC-SA
https://db.fieldmuseum.org/73a01ff3-58a2-4a97-b0b8-c74139f7dd45. FMNH2984830. Field Museum of Natural History."
Chorisia speciosa,
Chrysophyllum amazonicum,"Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 http://www.tropicos.org/Image/100928011 CC-BY-NC-SA
https://db.fieldmuseum.org/c2ed26cd-7cc9-4bdb-aba0-ee1b668d6d0a. FMNH191743. Field Museum of Natural History."
Chrysophyllum argenteum,
Chrysophyllum lucentifolium,
Chrysophyllum manaosense,
Chrysophyllum parvulum,https://db.fieldmuseum.org/2eb41340-fdf7-448b-87d8-08c714145db9. FMNH3059289. Field Museum of Natural History.
Chrysophyllum pomiferum,
Chrysophyllum prieurii,
Chrysophyllum viride,
Cipocereus minensis,
Cissus microcarpa,
Cissus sicyoides ,https://db.fieldmuseum.org/8ba6b575-fe74-49f3-83d0-d3dc36912c6d. FMNH2789640. Field Museum of Natural History.
Cissus trianae,https://db.fieldmuseum.org/722eda35-ee79-4ae8-a644-142565a49a29. FMNH3107921. Field Museum of Natural History.
Citrus sinensis,"Citrus sinensis (L.) Osbeck. (n.d.). Seed Information Database. Retrieved December 10, 2024, from https://ser-sid.org/species/12e64e26-e0ff-4644-90c0-3924d9273796"
Clarisia biflora,
Clarisia iricifolia,
Clarisia racemosa,
Clidemia bullosa,Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 http://www.tropicos.org/Image/191 Photographer: MBG CC-BY-NC-SA
Clidemia hirta,Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 http://www.tropicos.org/Image/100232115 Photographer: MBG CC-BY-NC-SA
Clidemia urceolata,
Clitoria javitensis,"https://db.fieldmuseum.org/29298df1-213f-4d91-9fd1-5426143427d9 . FMNH287933. Field Museum of Natural History.
https://db.fieldmuseum.org/eb93cbee-c793-4388-bf73-103ed415ef97. FMNH393752. Field Museum of Natural History."
Clusia palmicida,"Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 http://www.tropicos.org/Image/101627934 Photographer: MBG CC-BY-NC-SA
Clusia rosea Jacq. (n.d.). Seed Information Database. Retrieved December 10, 2024, from https://ser-sid.org/species/b33ee7ab-673c-41b6-960b-1ded4cb31b9a"
Clusia parviflora,
Coccoloba coronata,http://specimens.kew.org/herbarium/K000578501
Coccoloba densifrons,
Coccoloba excelsa,https://db.fieldmuseum.org/e5cb8c35-8a36-4946-9bb6-7a3ee9d2de68. FMNH3366435. Field Museum of Natural History.
Coccoloba mollis,
Coccoloba parimensis,https://db.fieldmuseum.org/e5cb8c35-8a36-4946-9bb6-7a3ee9d2de68. FMNH3366435. Field Museum of Natural History.
Comolia veronicaefolia,
Conceveiba guianensis,https://db.fieldmuseum.org/15d0eac8-85cd-43a8-a9c1-7d824a5cf6b9. FMNH3839515. Field Museum of Natural History.
Copaifera langsdorfii,Tropicos.org. Missouri Botanical Garden. 24 Jan 2024 http://www.tropicos.org/Image/100452050 Photographer: MBG CC-BY-NC-SA
Copernicia alba,
Cordia bicolor,
Cordia lomatoloba,https://db.fieldmuseum.org/d5536492-4a81-4450-93ac-7e7b51913f24. FMNH3004236. Field Museum of Natural History.
Cordia nodosa,
Cordiera sessilis,Tropicos.org. Missouri Botanical Garden. 25 Jan 2024 http://www.tropicos.org/Image/100540548 Photographer: MBG CC-BY-NC-SA
Couepia uiti,
Couma macrocarpa,
Couma utilis,
Couratari gloriosa,
Coussapoa angustifolia,
Coussapoa latifolia,https://db.fieldmuseum.org/196c14a8-9d84-4aac-8aba-25dc178cb0bf. FMNH2940653. Field Museum of Natural History.
Coussapoa orthoneura,
Coussapoa ovalifolia,
Coussapoa villosa,
Crepidospermum prancei,
Crepidospermum rhoifolium,
Crepis tectorum,
Cryptocarya aschersoniana,
Cryptocarya mandioccana,
Cryptocarya moschata,
Cupania latifolia,https://db.fieldmuseum.org/059adba6-9afd-45cc-bd7f-d101b05dbce3. FMNH399502. Field Museum of Natural History.
Cupania scrobiculata,https://db.fieldmuseum.org/f8db81f9-1720-4bbc-8369-1495154ed58f. FMNH399507. Field Museum of Natural History.
Curarea toxicofera,
Cyclanthus bipartitus,
Cynodon dactylon,
Cyperus diffusus,
Cyperus distans,
Cyperus ferax,
Cyperus polystachyos,"http://specimens.kew.org/herbarium/K000632077
http://specimens.kew.org/herbarium/K000363060"
Davilla aspera,https://db.fieldmuseum.org/f9bb8f94-c6a7-40e7-a96e-dc30cd0bea6d. FMNH3157176. Field Museum of Natural History.
Dendrobangia boliviana,
Dendropanax caucanus,
Dendropanax macrophyllus,Tropicos.org. Missouri Botanical Garden. 04 Feb 2024 https://tropicos.org/image/53503
Desmodium barbatum,
Desmodium incanum,
Dialium gianense,
Dicorynia guianensis,
Dicranostyles ampla,
Dicranostyles guianensis,
Dicranostyles holostyla,
Dimorphandra mollis,
Dioclea virgata,"Dioclea virgata (Rich.) Amshoff var. virgata. (n.d.). Seed Information Database. Retrieved December 12, 2024, from https://ser-sid.org/species/e70b7187-1812-41f7-a461-29228309528b"
Diospyros hispida,https://db.fieldmuseum.org/7c690859-e7e4-4f16-a967-1ed56c75e6ca. FMNH285015. Field Museum of Natural History.
Dipteryx alata,
Dipteryx micrantha,
Dipteryx panamensis,https://db.fieldmuseum.org/be72551a-896a-4d36-8ae4-1365c5d15cbe. FMNH288388. Field Museum of Natural History.
Dolinearpus paruensis,
Doliocarpus multiflorus,
Doliocarpus olivaceus,https://db.fieldmuseum.org/b0248860-fda9-428e-8fe8-b4ae4eb4cea8. FMNH393052. Field Museum of Natural History.
Dorstenia panamensis,
Drypetes variabilis,
Duckeodendron cestroides,
Duguetia surinamensis,https://db.fieldmuseum.org/4ffa3567-af43-4a4f-827b-90e20792de24. FMNH2123915. Field Museum of Natural History.
Dulacia egleri,
Duroia eriopila,
Ecclinusa guianensis,
Ecclinusa lanceolata,
Ecclinusa ramiflora,https://db.fieldmuseum.org/a226d34d-d6a9-4fe9-bc3f-99012cd8793c. FMNH3056028. Field Museum of Natural History.
Echinochloa polystachya,"Tropicos.org. Missouri Botanical Garden. 12 Dec 2024 https://www.tropicos.org/image/61112
Tropicos.org. Missouri Botanical Garden. 12 Dec 2024 http://legacy.tropicos.org/Image/100023204 Photographer: George S. Hinton CC-BY-NC-SA
Pseudechinolaena polystachya (Kunth) Stapf. (n.d.). Seed Information Database. Retrieved December 17, 2024, from https://ser-sid.org/species/22a70486-3a5c-4b34-a17c-cc9f4ccd61f7"
Eclipta prostrata,
Eichhornia crassipes,
Elephantomene eburnea,https://db.fieldmuseum.org/5496f219-4dc2-4cd5-9d28-72f3f8384f39. FMNH3119462. Field Museum of Natural History.
Emmotum acuminatum,
Emmotum nitens,
Endlicheria paniculata,
Endlicheria sericea,
Enterolobium contortisiliquum,
Enterolobium cyclocarpum,https://db.fieldmuseum.org/01429d89-b8b6-4fae-91f3-52eca89c4c6c. FMNH393861. Field Museum of Natural History.
Enterolobium schomburgkii,
Eperua falcata,https://db.fieldmuseum.org/e9c62ef5-5734-4a6d-bddd-263e3cdb5b3d. FMNH288448. Field Museum of Natural History.
Epilobium angustifolium,"Tropicos.org. Missouri Botanical Garden. 12 Dec 2024 http://legacy.tropicos.org/Image/101595177 Photographer: MBG CC-BY-NC-SA
Tropicos.org. Missouri Botanical Garden. 12 Dec 2024 http://legacy.tropicos.org/Image/101595176 Photographer: MBG CC-BY-NC-SA"
Eriobotrya japonica,Tropicos.org. Missouri Botanical Garden. 17 Dec 2024 http://legacy.tropicos.org/Image/83232 Photographer: MBG CC-BY-NC-SA
Eugenia cambucarana,
Eugenia cerasiflora,
Eugenia coffeifolia,https://db.fieldmuseum.org/63c138a9-da45-4665-a25a-bca9da19f0e3. FMNH2385944. Field Museum of Natural History.
Eugenia coloradensis,
Eugenia cribata,
Eugenia florida,https://db.fieldmuseum.org/c677437c-b17d-4404-a64f-c101a82ec158. FMNH2390147. Field Museum of Natural History.
Eugenia multicostata,
Eugenia neoverrucosa,
Eugenia nesiotica,
Eugenia punicifolia,
