plant_species,synonyms,family,native_introduced,color,fleshy_dry,dehiscent_indehiscent,number_s_per_f,number_s_per_f_uncertainty,number_s_per_f_lower_bound,number_s_per_f_upper_bound,number_s_per_f_sd_se,number_s_per_f_sample_size,s_length,s_length_uncertainty,s_length_lower_bound,s_length_upper_bound,s_length_sd_se,s_length_sample_size,s_width,s_width_uncertainty,s_width_lower_bound,s_width_upper_bound,s_width_sd_se,s_width_sample_size,s_mass,dry_wet_s,s_mass_uncertainty,s_mass_lower_bound,s_mass_upper_bound,s_mass_sd_se,s_mass_sample_size,f_length,f_length_uncertainty,f_length_lower_bound,f_length_upper_bound,f_length_sd_se,f_length_sample_size,f_width,f_width_uncertainty,f_width_lower_bound,f_width_upper_bound,f_width_sd_se,f_width_sample_size,f_mass,dry_wet_f,f_mass_uncertainty,f_mass_lower_bound,f_mass_upper_bound,f_mass_sd_se,f_mass_sample_size,citations
Abuta grandifolia,Abuta concolor,Menispermaceae,N,Yellow,F,I,1,None Specified,NA,NA,NA,6,19.8,Range,19.4,20.5,NA,6,9.15,Range,9,9.3,NA,6,1.07,NA,Range,0.69,1.23,NA,6,12,None Specified,NA,NA,NA,0,14.01,Range,13.7,14.5,NA,6,2.97,NA,Range,2.77,3.19,NA,6,"Stevenson 2023, Sánchez 2013, Link 2004, Kattge 2011, Foster 1985"
Abuta grandifolia,,,,,,,NA,,NA,NA,NA,NA,18,None Specified,NA,NA,NA,5,11,None Specified,NA,NA,NA,5,1.15,W,None Specified,NA,NA,NA,0,24.76,Range,23.2,26.4,NA,NA,12,None Specified,NA,NA,NA,5,NA,,,NA,NA,NA,NA,"Stevenson 2023, Sánchez 2013, Link 2004, Kattge 2011, Foster 1985"
Abuta grandifolia,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,0.97,D,None Specified,NA,NA,NA,0,22.5,None Specified,NA,NA,NA,6,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Stevenson 2023, Sánchez 2013, Link 2004, Kattge 2011, Foster 1985"
Abuta selloana ,,Menispermaceae,N,Yellow,F,I,1,None Specified,NA,NA,NA,12.5,16,None Specified,NA,NA,NA,12.5,11,None Specified,NA,NA,NA,12.5,2.175,W,SD,NA,NA,0.02,2,32,None Specified,NA,NA,NA,12.5,17,None Specified,NA,NA,NA,12.5,5.7,W,None Specified,NA,NA,NA,12.5,"Pizo 2002, Galetti 2011, Galetti 2015"
Abuta selloana ,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,16.2,None Specified,NA,NA,NA,10,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"Pizo 2002, Galetti 2011, Galetti 2015"
Acalypha alopecuroidea,"Ricinocarpus alopecuroidea, Acalypha aristata, Ricinocarpus aristata",Euphorbiaceae,N,Gray,D,D,NA,Range,1,3,NA,0,1.2,None Specified,NA,NA,NA,1,0.9,None Specified,NA,NA,NA,1,NA,,,NA,NA,NA,NA,NA,Range,1,1.5,NA,0,NA,Range,0.9,1.2,NA,0,NA,,,NA,NA,NA,NA,"https://www.delta-intkey.com/famfs/www/euphor.htm, http://floranorthamerica.org/Acalypha_alopecuroidea, https://swbiodiversity.org/seinet/taxa/index.php?tid=4239&clid=3120&pid=20&taxauthid=1"
Acanthococos emensis,Acrocomia emensis,Arecaceae,N,Green,D,I,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,20,,NA,NA,NA,0,20,,NA,NA,NA,0,NA,,,NA,NA,NA,NA,https://eol.org/pages/31147028/data
Acca sellowiana,Feijoa sellowiana,Myrtaceae,N,Green,F,I,NA,Range,20,40,NA,0,2.028571429,SD,NA,NA,0.257182537,21,1.380952381,SD,NA,NA,0.180607441,21,NA,W,Range,0.001334094,0.001439975,NA,0,NA,Range,27.74,59.95,NA,220,NA,Range,23.42,39.43,NA,220,NA,D,Range,18.57,40,NA,220,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7"
Acca sellowiana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Range,40,100,NA,0,NA,Range,30,50,NA,0,104.3,NA,SD,NA,NA,14.1,10,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7"
Acca sellowiana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,125.8,NA,SD,NA,NA,26.4,10,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7"
Acca sellowiana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,91.90769231,NA,SD,NA,NA,27.70332295,13,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7"
Acca sellowiana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,96.41666667,NA,SD,NA,NA,34.41579535,12,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7"
Acca sellowiana,,,,,,,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,90,NA,None Specified,NA,NA,NA,0,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7"
