Plant_Species,Dehiscent_Indehiscent
Citrus sinensis,I
Eriobotrya japonica,I
Ficus benjamina,I
Ficus clusiifolia,I
Hieronyma oblonga,I
Holocalyx balansae,I
Hovenia dulcis,I
Mangifera indica,I
Morus nigra,I
Musa velutina,I
Parinari excelsa,I
Syzygium cumini,I
Abuta grandifolia,I
Abuta selloana ,I
Acca sellowiana,I
Aechmea rubiginosa,I
Alibertia edulis,I
Alibertia hadrantha,I
Allophylus mollis,I
Amaioua guianensis,I
Ambelania acida,I
Anacardium giganteum,I
Anacardium spruceanum,I
Ananas ananassoides,I
Annona cornifolia,I
Annona dioica,I
Annona haematantha,I
Anomospermum reticulatum,I
Anthurium crassinervium,I
Anthurium harrisii,I
Astrocaryum aculeatum,I
Astrocaryum jauari,I
Astrocaryum murumuru,I
Bagassa guianensis,I
Batocarpus orinocensis,I
Bellucia grossularioides,I
Bellucia pentamera,I
Bocageopsis multiflora,I
Bromelia balansae,I
Bromelia plumieri,I
Brosimum alicastrum,I
Brosimum guianensis,I
Brosimum lactescens,I
Brosimum parinarioides,I
Brosimum rubescens,I
Buchenavia amazonia,I
Buchenavia grandis,I
Buchenavia parvifolia,I
Buchenavia tomentosa,I
Byrsonima arthropoda,I
Byrsonima cowanii,I
Byrsonima crispa,I
Byrsonima gardneriana,I
Byrsonima orbignyana,I
Byrsonima schomburgkiana,I
Byrsonima stipulacea,I
Calyptranthes multiflora,I
Campomanesia guaviroba,I
Campomanesia neriiflora,I
Campomanesia speciosa,I
Caryocar glabrum,I
Castilla ulei,I
Cayaponia granatensis,I
Cecropia angustifolia,I
Cecropia cinerea,I
Cecropia engleriana,I
Cecropia glaziovi,I
Cecropia hololeuca,I
Cecropia membranacea,I
Cecropia mutisiana,I
Cecropia obtusa,I
Cecropia obtusifolia,I
Cecropia pachystachya,I
Cecropia purpurascens,I
Cecropia sciadophylla,I
Cecropia telealba,I
Cecropia telenitida,I
Celtis schippii,I
Cestrum racemosum,I
Chrysophyllum amazonicum,I
Chrysophyllum lucentifolium,I
Chrysophyllum manaosense,I
Chrysophyllum parvulum,I
Chrysophyllum pomiferum,I
Chrysophyllum prieurii,I
Chrysophyllum viride,I
Cissus microcarpa,I
Cissus sicyoides ,I
Cissus trianae,I
Clarisia racemosa,I
Clidemia bullosa,I
Clidemia hirta,I
Clidemia urceolata,I
Coccoloba coronata,I
Coccoloba densifrons,I
Coccoloba excelsa,I
Coccoloba mollis,I
Coccoloba parimensis,I
