Plant Species,value
Abuta grandifolia,13.09636364
Abuta selloana ,17
Acalypha alopecuroidea,1.05
Acca sellowiana,31.4638009
Aciotis aequatorialis,2.65
Acrocomia aculeata,30.06395349
Aechmea rubiginosa,20.25
Alibertia edulis,30
Allagoptera leucocalyx,31.7
Allophylus mollis,8.535869565
Amaioua guianensis,10
Ambelania acida,32.5
Anacardium giganteum,50
Anacardium spruceanum,36
Ananas ananassoides,68.68
Annona dioica,75.1
Anomospermum reticulatum,11.15
Anthurium crassinervium,3.8
Apeiba aspera,42.33333333
Araucaria angustifolia,150
Astrocaryum aculeatum,45
Astrocaryum jauari,27.74875622
Astrocaryum murumuru,41
Attalea phalerata,31.68283582
Bagassa guianensis,19.16666667
Barcella odora,25
Batocarpus orinocensis,45.85
Bellucia grossularioides,14.16666667
Bellucia pentamera,17.69583333
Bocageopsis multiflora,5.5
Borreria latifolia,2.875
Bromelia balansae,20
Bromelia plumieri,16.46875
Brosimum alicastrum,21.16666667
Brosimum guianensis,15.6125
Brosimum lactescens,15
Brosimum parinarioides,23.1
Brosimum rubescens,13.67142857
Buchenavia amazonia,9.5
Buchenavia grandis,18
Buchenavia parvifolia,10.75
Buchenavia tomentosa,17.18
Bursera inversa,14.5
Byrsonima arthropoda,10.31666667
Byrsonima crispa,11
Byrsonima gardneriana,7.3
Byrsonima orbignyana,12.1
Byrsonima stipulacea,10.98
Calyptranthes multiflora,6.266666667
Campomanesia guaviroba,17
Campomanesia neriiflora,31
Campomanesia speciosa,30.91666667
Caryocar glabrum,55
Casearia macrocarpa,15.16
Cassia moschata,15.41666667
Castilla ulei,35.76666667
Cayaponia granatensis,22.08333333
Cecropia angustifolia,9.225
Cecropia cinerea,11.30980392
Cecropia engleriana,10.41666667
Cecropia hololeuca,7.45
Cecropia membranacea,4.966666667
Cecropia mutisiana,2.618918919
Cecropia obtusa,0.8
Cecropia obtusifolia,5.7
Cecropia pachystachya,11.30980392
Cecropia purpurascens,5.933333333
Cecropia sciadophylla,15
Cecropia telealba,23.8
Cecropia telenitida,14.16
Celtis schippii,8.75
Cestrum racemosum,4.833333333
Cheiloclinium hippocrateoides,21.43333333
Chorisia speciosa,78.2
Chrysophyllum amazonicum,20.1
Chrysophyllum lucentifolium,57
Chrysophyllum manaosense,30
Chrysophyllum parvulum,10.5
Chrysophyllum pomiferum,27.5
Chrysophyllum prieurii,45
Chrysophyllum viride,20
Cipocereus minensis,32.3
Cissus microcarpa,7
Cissus sicyoides ,3.936842105
Cissus trianae,4.405660377
Citrus sinensis,68.05
Clarisia racemosa,16.58333333
Clidemia bullosa,3.828888889
Clidemia hirta,3
Clidemia urceolata,2.1
Clitoria javitensis,23.3
Clusia palmicida,36.9
Clusia parviflora,5
Coccoloba coronata,7.0375
Coccoloba densifrons,13
Coccoloba excelsa,6.416666667
Coccoloba mollis,12
Coccoloba parimensis,6.416666667
Copaifera langsdorfii,14.91428571
Copernicia alba,16.4
Cordia bicolor,8.6
Cordia lomatoloba,7.218133333
Cordia nodosa,15.91428571
Cordiera sessilis,20.1
Couma macrocarpa,63.33333333
Couma utilis,18.19
Coussapoa latifolia,8.216666667
Coussapoa orthoneura,10
Coussapoa villosa,24.2
Crepidospermum rhoifolium,14.2
Cryptocarya aschersoniana,25
Cryptocarya mandioccana,19
Cryptocarya moschata,20
Curarea toxicofera,12
Cyperus diffusus,0.59
Dendrobangia boliviana,10
Dendropanax caucanus,10
Dendropanax macrophyllus,9.757142857
Dialium gianense,11.044
Dicranostyles ampla,14.33333333
