Plant_Species,value
Casearia macrocarpa,F
Citrus sinensis,F
Eriobotrya japonica,F
Ficus benjamina,F
Ficus clusiifolia,F
Hieronyma oblonga,F
Holocalyx balansae,F
Hovenia dulcis,F
Mangifera indica,F
Morus nigra,F
Musa velutina,F
Parinari excelsa,F
Syzygium cumini,F
Abuta grandifolia,F
Abuta selloana ,F
Acca sellowiana,F
Aciotis aequatorialis,F
Aechmea rubiginosa,F
Alibertia edulis,F
Alibertia hadrantha,F
Allophylus mollis,F
Amaioua guianensis,F
Ambelania acida,F
Anacardium giganteum,F
Anacardium spruceanum,F
Ananas ananassoides,F
Annona cornifolia,F
Annona dioica,F
Annona haematantha,F
Anomospermum reticulatum,F
Anthurium crassinervium,F
Anthurium harrisii,F
Astrocaryum aculeatum,F
Astrocaryum jauari,F
Astrocaryum murumuru,F
Bagassa guianensis,F
Batocarpus orinocensis,F
Bellucia grossularioides,F
Bellucia pentamera,F
Bocageopsis multiflora,F
Bromelia balansae,F
Bromelia plumieri,F
Brosimum alicastrum,F
Brosimum guianensis,F
Brosimum lactescens,F
Brosimum parinarioides,F
Brosimum rubescens,F
Buchenavia amazonia,F
Buchenavia grandis,F
Buchenavia parvifolia,F
Buchenavia tomentosa,F
Byrsonima arthropoda,F
Byrsonima cowanii,F
Byrsonima crispa,F
Byrsonima gardneriana,F
Byrsonima orbignyana,F
Byrsonima schomburgkiana,F
Byrsonima stipulacea,F
Calyptranthes multiflora,F
Campomanesia guaviroba,F
Campomanesia neriiflora,F
Campomanesia speciosa,F
Caryocar glabrum,F
Casearia lasiophylla,F
Castilla ulei,F
Cayaponia granatensis,F
Cecropia angustifolia,F
Cecropia cinerea,F
Cecropia engleriana,F
Cecropia glaziovi,F
Cecropia hololeuca,F
Cecropia membranacea,F
Cecropia mutisiana,F
Cecropia obtusa,F
Cecropia obtusifolia,F
Cecropia pachystachya,F
Cecropia purpurascens,F
Cecropia sciadophylla,F
Cecropia telealba,F
Cecropia telenitida,F
Celtis schippii,F
Cestrum racemosum,F
