Plant_Species,Native_Introduced
Abuta grandifolia,N
Abuta selloana ,N
Acalypha alopecuroidea,N
Acca sellowiana,N
Aciotis aequatorialis,N
Acrocomia aculeata,N
Aechmea rubiginosa,N
Alibertia edulis,N
Alibertia hadrantha,N
Allagoptera leucocalyx,N
Allophylus mollis,N
Amaioua guianensis,N
Ambelania acida,N
Anacardium giganteum,N
Anacardium spruceanum,N
Ananas ananassoides,N
Annona cornifolia,N
Annona dioica,N
Annona haematantha,N
Anomospermum reticulatum,N
Anthurium crassinervium,N
Anthurium harrisii,N
Apeiba aspera,N
Araucaria angustifolia,N
Astrocaryum aculeatum,N
Astrocaryum jauari,N
Astrocaryum murumuru,N
Attalea phalerata,N
Bagassa guianensis,N
Barcella odora,N
Batocarpus orinocensis,N
Bellucia grossularioides,N
Bellucia pentamera,N
Bocageopsis multiflora,N
Borreria latifolia,I
Bromelia balansae,N
Bromelia plumieri,N
Brosimum alicastrum,N
Brosimum guianensis,N
Brosimum lactescens,N
Brosimum parinarioides,N
Brosimum rubescens,N
Buchenavia amazonia,N
Buchenavia grandis,N
Buchenavia parvifolia,N
Buchenavia tomentosa,N
Bursera inversa,N
Byrsonima arthropoda,N
Byrsonima cowanii,N
Byrsonima crispa,N
Byrsonima gardneriana,N
Byrsonima orbignyana,N
Byrsonima schomburgkiana,N
Byrsonima stipulacea,N
Calyptranthes multiflora,N
Campomanesia guaviroba,N
Campomanesia neriiflora,N
Campomanesia speciosa,N
Caryocar glabrum,N
Casearia lasiophylla,N
Casearia macrocarpa,I
Cassia moschata,N
Castilla ulei,N
Cayaponia granatensis,N
Cecropia angustifolia,N
Cecropia cinerea,N
Cecropia engleriana,N
Cecropia glaziovi,N
Cecropia hololeuca,N
Cecropia membranacea,N
Cecropia mutisiana,N
Cecropia obtusa,N
Cecropia obtusifolia,N
Cecropia pachystachya,N
Cecropia purpurascens,N
Cecropia sciadophylla,N
Cecropia telealba,N
Cecropia telenitida,N
Celtis schippii,N
Cestrum racemosum,N
Cheiloclinium hippocrateoides,N
Chorisia speciosa,N
Chrysophyllum amazonicum,N
Chrysophyllum lucentifolium,N
Chrysophyllum manaosense,N
Chrysophyllum parvulum,N
Chrysophyllum pomiferum,N
Chrysophyllum prieurii,N
Chrysophyllum viride,N
Cipocereus minensis,N
Cissus microcarpa,N
Cissus sicyoides ,N
Cissus trianae,N
Citrus sinensis,I
Clarisia racemosa,N
Clidemia bullosa,N
Clidemia hirta,N
Clidemia urceolata,N
Clitoria javitensis,N
Clusia palmicida,N
Clusia parviflora,N
Coccoloba coronata,N
Coccoloba densifrons,N
Coccoloba excelsa,N
Coccoloba mollis,N
Coccoloba parimensis,N
Comolia veronicaefolia,N
Copaifera langsdorfii,N
Copernicia alba,N
Cordia bicolor,N
Cordia lomatoloba,N
Cordia nodosa,N
Cordiera sessilis,N
Couma macrocarpa,N
Couma utilis,N
Coussapoa latifolia,N
Coussapoa orthoneura,N
Coussapoa ovalifolia,N
Coussapoa villosa,N
Crepidospermum prancei,N
Crepidospermum rhoifolium,N
Crepis tectorum,I
Cryptocarya aschersoniana,N
Cryptocarya mandioccana,N
Cryptocarya moschata,N
Curarea toxicofera,N
Cyperus diffusus,I
Cyperus distans,N
Dendrobangia boliviana,N
Dendropanax caucanus,N
Dendropanax macrophyllus,N
Dialium gianense,N
Dicranostyles ampla,N
Dicranostyles holostyla,N
Dimorphandra mollis,N
Dioclea virgata,N
Diospyros hispida,N
Dipteryx micrantha,N
Dipteryx panamensis,N
Doliocarpus multiflorus,N
Drypetes variabilis,N
Duroia eriopila,N
Ecclinusa guianensis,N
Ecclinusa lanceolata,N
Ecclinusa ramiflora,N
Elephantomene eburnea,N
Emmotum acuminatum,N
Emmotum nitens,N
Endlicheria paniculata,N
Endlicheria sericea,N
Enterolobium contortisiliquum,N
Enterolobium cyclocarpum,N
Enterolobium schomburgkii,N
Eriobotrya japonica,I
Eugenia cerasiflora,N
Eugenia cribata,N
Eugenia florida,N
Eugenia nesiotica,N
Eugenia punicifolia,N
Euterpe edulis,N
Ficus amazonica,N
Ficus americana,N
Ficus andicola,N
Ficus benjamina,I
Ficus broadwayi,N
Ficus calyptroceras,N
Ficus clusiifolia,I
Ficus enormis,N
Ficus gomelleira,N
Ficus guianensis,N
Ficus insipida,N
Ficus krukovii,N
Ficus lehmannii,N
Ficus matiziana,N
Ficus membranacea,N
Ficus mutisii,N
Ficus nymphaeifolia,N
Ficus obtusifolia,N
Ficus pertusa,N
Ficus sphenophylla,N
Ficus trigona,N
Ficus usiacurina,N
Fimbristylis dichotoma,I
Garcinia macrophylla,N
Garcinia madruno,N
Genipa americana,N
Gleasonia uaupensis,N
Gomidesia affinis,N
Goupia glabra,N
Guapira cuspidata,N
Guapira graciliflora,N
Guapira guianensis,N
Guarea glabra,N
Guatteria decurrens,N
Guatteria ferruginea,N
Guatteria foliosa,N
Guatteria insculpta,N
Guatteria olivacea,N
Guatteria punctata,N
Guazuma mutamba,N
Guazuma ulmifolia,N
Guettarda acreana,N
Guettarda hirsuta,N
