Plant_Species,Number_S_per_F
Abuta grandifolia,1
Abuta selloana ,1
Acalypha alopecuroidea,2
Acca sellowiana,30
Acrocomia aculeata,1
Alibertia edulis,35
Alibertia hadrantha,18.92857143
Allophylus mollis,1
Anacardium giganteum,1
Anacardium spruceanum,1
Ananas ananassoides,4.34
Annona cornifolia,40.5
Anthurium harrisii,2
Apeiba aspera,167
Araucaria angustifolia,84.62213115
Attalea phalerata,3.5
Batocarpus orinocensis,20
Bellucia pentamera,500
Bocageopsis multiflora,1.5
Bromelia balansae,23.40909091
Bromelia plumieri,69.2
Brosimum alicastrum,1
Brosimum guianensis,1.833333333
Brosimum lactescens,1.45530303
Buchenavia grandis,1
Buchenavia tomentosa,1
Bursera inversa,1
Byrsonima crispa,1
Byrsonima gardneriana,1
Campomanesia neriiflora,9
Campomanesia speciosa,6.5
Caryocar glabrum,1.5
Casearia lasiophylla,5
Casearia macrocarpa,4
Cassia moschata,90
Castilla ulei,6.242857143
Cayaponia granatensis,2.092592592
Cecropia angustifolia,1086
Cecropia cinerea,196.6
Cecropia engleriana,1636.285714
Cecropia membranacea,3660
Cecropia obtusifolia,2792
Cecropia pachystachya,196.6
Cecropia sciadophylla,1950
Cecropia telealba,3528
Celtis schippii,1
Cestrum racemosum,5
Cheiloclinium hippocrateoides,3
Chorisia speciosa,100.59
Chrysophyllum lucentifolium,4.01
Chrysophyllum manaosense,3.5
Chrysophyllum parvulum,1
Chrysophyllum pomiferum,5
Chrysophyllum prieurii,3
Chrysophyllum viride,3
Cissus sicyoides ,1
Cissus trianae,3
Clarisia racemosa,1
Clidemia hirta,405.8064516
Clidemia urceolata,168.8
Clitoria javitensis,15
Clusia parviflora,5
Coccoloba coronata,1
Coccoloba densifrons,1
Coccoloba excelsa,1
Coccoloba mollis,1
Copaifera langsdorfii,1
Copernicia alba,1
Cordia bicolor,1
Cordia nodosa,1
Cordiera sessilis,31.7
Couma macrocarpa,11.35483871
Coussapoa latifolia,75
Coussapoa orthoneura,64.10277778
Coussapoa villosa,160
Crepidospermum rhoifolium,1.428571429
Crepis tectorum,1
Cryptocarya aschersoniana,1
Cryptocarya moschata,1
Dendrobangia boliviana,1
Dendropanax caucanus,4.344444445
Dialium gianense,1.083333333
Dicranostyles ampla,1
Dimorphandra mollis,13.60283688
Dioclea virgata,8.5
Diospyros hispida,7.75
Dipteryx micrantha,1
Dipteryx panamensis,1
Doliocarpus multiflorus,1.916666667
Drypetes variabilis,1
Ecclinusa guianensis,3
Ecclinusa lanceolata,4.5
Emmotum nitens,3
Endlicheria paniculata,1
Endlicheria sericea,1
Enterolobium cyclocarpum,13
Enterolobium schomburgkii,7.291666667
Eriobotrya japonica,1.82295082
Eugenia cribata,1
Eugenia florida,1.5
Eugenia nesiotica,1.4375
Eugenia punicifolia,1
Euterpe edulis,1
Ficus americana,114.9411765
Ficus andicola,114.9411765
Ficus calyptroceras,545
Ficus gomelleira,100
Ficus guianensis,114.9411765
Ficus insipida,119.3548387
Ficus nymphaeifolia,350
Ficus obtusifolia,690.0128205
Ficus pertusa,53.83647505
Ficus sphenophylla,19
Ficus trigona,187.2727273
Ficus usiacurina,1104
Garcinia macrophylla,3.077237654
Garcinia madruno,2
Genipa americana,172.2857143
Gleasonia uaupensis,2
Gomidesia affinis,1
Goupia glabra,3.967741935
Guapira cuspidata,1
Guapira graciliflora,1
Guatteria olivacea,1
Guatteria punctata,1
Guazuma mutamba,48
Guazuma ulmifolia,48
Guettarda acreana,3
Guettarda viburnoides,5
Gustavia hexapetala,9.442857143
Hancornia speciosa,3.971875
Harrisia bonplandii,749
Hebepetalum humiriifolium,5
Hedyosmum cuatrecazanum,5
Heisteria nitida,1
Heisteria silvianii,1
Helicostylis tomentosa,12.13712121
Henriettella fissanthera,86.66666667
Heteropsis oblongifolia,3.925925926
Hieronyma oblonga,1
Holocalyx balansae,1.2
Hovenia dulcis,3
Hyeronima alchorneoides,1
Hymenaea altissima,4.428571429
Hymenaea courbaril,4.428571429
Hymenaea oblongifolia,1.290909091
Inga acreana,7.872727273
Inga acrocephala ,15.6888889
Inga alba,10.171875
Inga bonplandiana,7
Inga cylindrica,8
Inga edulis,14.64035088
Inga ingoides,20
Inga leiocalycina,9.5
Inga macrophylla ,18.81132075
Inga marginata,10.22727273
Inga pezizifera,7
Inga semialata,10.22727273
Inga stenoptera,10.34090909
Inga tenuistipula,15
Inga thibaudiana,16.03174603
Iriartea deltoidea,1
Iryanthera crassifolia,1
Iryanthera sagotiana,1
Jacaratia digitata,206
Laetia corymbulosa,21
Laetia procera,15
Lantana camara,1.75
Lecythis pisonis,22.61538462
Leonia glycycarpa,19.61363636
Lepidagathis alopecuroidea,4
Lithraea molleoides,1
Mangifera indica,1
Manilkara bidentata,1.099074074
Manilkara huberi,1.490196078
Maripa janusiana,1
Maripa peruviana,1
Matayba elaeagnoides,3
Matisia obliquifolia,5
Mauritia flexuosa,1
Maximiliana maripa,1.84375
Mendoncia odorata,1
Miconia acuminifera,95
Miconia albicans,20.44757709
Miconia cuspidata,40.74
Miconia flammea,1.53125
Miconia trianaei,20
Micropholis caudata,1
Micropholis guyanensis ,1.5
Micropholis mensalis,1.5
Micropholis obscura,1
Monstera adansonii,1
