Plant_Species,S_Width
Abuta grandifolia,9.990909091
Abuta selloana ,11
Acalypha alopecuroidea,0.9
Acca sellowiana,1.380952381
Acrocomia aculeata,23.8
Aechmea rubiginosa,4
Alibertia hadrantha,9
Anacardium giganteum,6
Anacardium spruceanum,16
Ananas ananassoides,2.258064516
Anomospermum reticulatum,22.5
Apeiba aspera,1.627272727
Araucaria angustifolia,14.89090909
Astrocaryum aculeatum,6.233333333
Astrocaryum jauari,25
Astrocaryum murumuru,25
Attalea phalerata,7.111111111
Batocarpus orinocensis,9.107142857
Bellucia grossularioides,0.741666667
Bellucia pentamera,0.25
Bocageopsis multiflora,5.5
Borreria latifolia,1.25
Bromelia plumieri,3.483870968
Brosimum alicastrum,9.730769231
Brosimum guianensis,6.5
Brosimum lactescens,8.924528302
Brosimum parinarioides,6.6
Brosimum rubescens,5.55
Buchenavia grandis,11.18214286
Bursera inversa,12.02857143
Byrsonima crispa,8.05
Byrsonima gardneriana,5
Byrsonima orbignyana,7
Campomanesia guaviroba,6
Campomanesia neriiflora,9
Campomanesia speciosa,10
Caryocar glabrum,23.8
Casearia macrocarpa,4.809090909
Cassia moschata,5.633333333
Castilla ulei,8.5
Cayaponia granatensis,10.375
Cecropia angustifolia,0.796
Cecropia cinerea,1.045866667
Cecropia engleriana,1.3
Cecropia glaziovi,1.1
Cecropia hololeuca,1
Cecropia membranacea,1.841666667
Cecropia obtusa,0.5
Cecropia obtusifolia,1.125
Cecropia pachystachya,1.045866667
Cecropia sciadophylla,1.157142857
Cecropia telealba,0.7
Celtis schippii,5.15
Cestrum racemosum,2.2
Cheiloclinium hippocrateoides,12.26666667
Chorisia speciosa,7.98
Chrysophyllum amazonicum,4
Chrysophyllum lucentifolium,12.05714286
Chrysophyllum manaosense,12.5
Chrysophyllum parvulum,8.5
Chrysophyllum pomiferum,8
Chrysophyllum prieurii,17
Chrysophyllum viride,5
Cissus sicyoides ,3.5
Cissus trianae,4.3
Citrus sinensis,4.7
Clarisia racemosa,12.71538462
Clidemia urceolata,0.525
Clitoria javitensis,9.45
Clusia palmicida,2.496
Clusia parviflora,2
Coccoloba coronata,5.6
Coccoloba densifrons,8.242857143
Coccoloba mollis,5.3
Copaifera langsdorfii,8.925925926
Copernicia alba,9.264705882
Cordia bicolor,7
Cordia nodosa,7.124324324
Couma macrocarpa,8.747368421
Coussapoa orthoneura,1.15
Coussapoa ovalifolia,1.6
Coussapoa villosa,1.9
Crepidospermum rhoifolium,7.242857143
Cryptocarya aschersoniana,20
Cryptocarya mandioccana,15.2
Cryptocarya moschata,15
Dendropanax caucanus,4.05
Dialium gianense,8.1875
Dicranostyles ampla,12.5
Dimorphandra mollis,6
Dioclea virgata,7
Diospyros hispida,5.29
Dipteryx micrantha,29.2962963
Dipteryx panamensis,15
Doliocarpus multiflorus,4.642857143
Drypetes variabilis,9.65
Ecclinusa guianensis,13
Ecclinusa lanceolata,15
Ecclinusa ramiflora,11.2
Elephantomene eburnea,25
Endlicheria sericea,15.5
Enterolobium contortisiliquum,17.4
Enterolobium cyclocarpum,15
Enterolobium schomburgkii,4.85
Eugenia cerasiflora,17.16666667
Eugenia cribata,14.2
Eugenia florida,5
Eugenia nesiotica,12.81818182
Eugenia punicifolia,6
Euterpe edulis,11
Ficus americana,0.958333333
Ficus andicola,0.958333333
Ficus benjamina,0.410526316
Ficus clusiifolia,0.7
Ficus gomelleira,1.208333333
Ficus guianensis,0.958333333
Ficus insipida,1.4
Ficus nymphaeifolia,1
Ficus obtusifolia,0.9
Ficus pertusa,0.75
Ficus sphenophylla,0.75
Ficus trigona,0.875
Ficus usiacurina,0.98
Fimbristylis dichotoma,0.770909091
Garcinia macrophylla,12.59722222
Garcinia madruno,9.9
Genipa americana,9.2
Gleasonia uaupensis,8
Goupia glabra,1
Guapira cuspidata,5.5
Guapira guianensis,3.36
Guarea glabra,15
Guatteria decurrens,9.5
Guatteria ferruginea,4.64516129
Guatteria insculpta,7
Guatteria olivacea,4.925
Guatteria punctata,4.925
Guazuma mutamba,1.5
Guazuma ulmifolia,1.5
Guettarda viburnoides,3.65
Gustavia hexapetala,10
Harrisia bonplandii,1.8
Hebepetalum humiriifolium,0.75
Hedyosmum cuatrecazanum,2.75
Heisteria nitida,6
