plant_species,f_width
Abuta grandifolia,13.096363636363636
Abuta selloana ,17.0
Acalypha alopecuroidea,1.05
Acca sellowiana,31.463800904977376
Aciotis aequatorialis,2.6500000000000004
Acrocomia aculeata,30.063953488372093
Aechmea rubiginosa,20.25
Alibertia edulis,30.0
Allagoptera leucocalyx,31.7
Allophylus mollis,8.535869565217391
Amaioua guianensis,10.0
Ambelania acida,32.5
Anacardium giganteum,50.0
Anacardium spruceanum,36.0
Ananas ananassoides,68.68
Annona dioica,75.1
Anomospermum reticulatum,11.15
Anthurium crassinervium,3.7999999999999994
Apeiba aspera,42.333333333333336
Araucaria angustifolia,150.0
Astrocaryum aculeatum,45.0
Astrocaryum jauari,27.748756218905474
Astrocaryum murumuru,41.0
Attalea phalerata,31.682835820970148
Bagassa guianensis,19.166666666666668
Barcella odora,25.0
Batocarpus orinocensis,45.85
Bellucia grossularioides,14.166666666666666
Bellucia pentamera,17.695833333333336
Bocageopsis multiflora,5.5
Borreria latifolia,2.875
Bromelia balansae,20.0
Bromelia plumieri,16.46875
Brosimum alicastrum,21.166666666666668
Brosimum guianensis,15.6125
Brosimum lactescens,15.0
Brosimum parinarioides,23.1
Brosimum rubescens,13.671428571428573
Buchenavia amazonia,9.5
Buchenavia grandis,18.0
Buchenavia parvifolia,10.75
Buchenavia tomentosa,17.18
Bursera inversa,14.5
Byrsonima arthropoda,10.31666667
Byrsonima crispa,11.0
Byrsonima gardneriana,7.3
Byrsonima orbignyana,12.1
Byrsonima stipulacea,10.98
Calyptranthes multiflora,6.266666667
Campomanesia guaviroba,17.0
Campomanesia neriiflora,31.0
Campomanesia speciosa,30.916666666666668
Caryocar glabrum,55.0
Casearia macrocarpa,15.16
Cassia moschata,15.416666666666666
Castilla ulei,35.766666666666666
Cayaponia granatensis,22.083333333333332
Cecropia angustifolia,9.225
Cecropia cinerea,11.309803921568626
Cecropia engleriana,10.416666666666666
Cecropia hololeuca,7.45
Cecropia membranacea,4.966666666666667
Cecropia mutisiana,2.618918919
Cecropia obtusa,0.8000000000000002
Cecropia obtusifolia,5.7
Cecropia pachystachya,11.309803921568626
Cecropia purpurascens,5.933333333
Cecropia sciadophylla,15.0
Cecropia telealba,23.8
Cecropia telenitida,14.16
Celtis schippii,8.749999999928571
Cestrum racemosum,4.833333333333333
Cheiloclinium hippocrateoides,21.43333333
Chorisia speciosa,78.2
Chrysophyllum amazonicum,20.1
Chrysophyllum lucentifolium,57.0
Chrysophyllum manaosense,30.0
Chrysophyllum parvulum,10.5
Chrysophyllum pomiferum,27.5
Chrysophyllum prieurii,45.0
Chrysophyllum viride,20.0
Cipocereus minensis,32.3
Cissus microcarpa,7.0
Cissus sicyoides ,3.936842105
Cissus trianae,4.405660377
Citrus sinensis,68.05
Clarisia racemosa,16.583333333333332
Clidemia bullosa,3.828888889
Clidemia hirta,3.0
Clidemia urceolata,2.1
Clitoria javitensis,23.3
Clusia palmicida,36.9
Clusia parviflora,5.0
Coccoloba coronata,7.037500000125
Coccoloba densifrons,13.0
Coccoloba excelsa,6.416666667
Coccoloba mollis,12.0
Coccoloba parimensis,6.416666667
Copaifera langsdorfii,14.91428571
Copernicia alba,16.4
Cordia bicolor,8.600000000000001
Cordia lomatoloba,7.218133333
Cordia nodosa,15.914285714285715
Cordiera sessilis,20.1
Couma macrocarpa,63.333333333333336
Couma utilis,18.19
Coussapoa latifolia,8.216666667
Coussapoa orthoneura,10.0
Coussapoa villosa,24.2
Crepidospermum rhoifolium,14.2
Cryptocarya aschersoniana,25.0
Cryptocarya mandioccana,19.0
Cryptocarya moschata,20.0
Curarea toxicofera,12.0
Cyperus diffusus,0.59
Dendrobangia boliviana,10.0
Dendropanax caucanus,10.0
Dendropanax macrophyllus,9.757142857
Dialium gianense,11.044
Dicranostyles ampla,14.333333333333334
Dicranostyles holostyla,14.5
Dimorphandra mollis,31.75
Dioclea virgata,20.0
Diospyros hispida,42.3
Dipteryx micrantha,29.392156852941177
Dipteryx panamensis,25.0
Doliocarpus multiflorus,11.0
Drypetes variabilis,11.0
Ecclinusa guianensis,22.5
Ecclinusa lanceolata,28.0
Ecclinusa ramiflora,57.7
Elephantomene eburnea,31.2
Emmotum nitens,11.0
Endlicheria paniculata,10.0
Enterolobium contortisiliquum,39.1
Enterolobium cyclocarpum,91.8
Enterolobium schomburgkii,26.666666666666668
Eriobotrya japonica,34.699264705876054
Eugenia cribata,37.4
Eugenia florida,3.9
Eugenia nesiotica,24.5
Eugenia punicifolia,6.7
Euterpe edulis,13.851851851851851
Ficus amazonica,7.0
Ficus americana,14.81842105263158
Ficus andicola,14.81842105263158
Ficus benjamina,14.55
Ficus broadwayi,20.0
Ficus calyptroceras,13.5
Ficus clusiifolia,5.0
Ficus enormis,13.51578947368421
Ficus gomelleira,19.285714285714285
Ficus guianensis,12.353703703703705
Ficus insipida,24.02061855670103
Ficus lehmannii,5.263
Ficus matiziana,11.634
Ficus membranacea,11.9855
Ficus mutisii,8.81725
Ficus nymphaeifolia,23.0
Ficus obtusifolia,24.0
Ficus pertusa,9.381818181818183
Ficus sphenophylla,9.416666666666666
Ficus trigona,17.5
Ficus usiacurina,24.0
Fimbristylis dichotoma,27.1
Garcinia macrophylla,55.69714285714286
Garcinia madruno,33.633
Genipa americana,63.263888888888886
Gleasonia uaupensis,14.0
Gomidesia affinis,12.5
Goupia glabra,4.3
Guapira cuspidata,8.071428571428571
Guapira graciliflora,4.0
Guarea glabra,20.0
Guatteria decurrens,9.5
Guatteria ferruginea,5.5
Guatteria foliosa,9.0
Guatteria insculpta,8.5
Guatteria olivacea,8.0
Guatteria punctata,8.0
Guazuma mutamba,17.838709677419356
Guazuma ulmifolia,17.838709677419356
Guettarda acreana,5.0
Guettarda hirsuta,4.5
Guettarda viburnoides,12.0
Gustavia hexapetala,47.5
Hancornia speciosa,29.8
Harrisia bonplandii,42.5
Hebepetalum humiriifolium,6.25
Hedyosmum cuatrecazanum,8.183333333
Heisteria silvianii,10.0
Helicostylis pedunculata,5.0
Helicostylis scabra,11.9
Helicostylis tomentosa,25.0
Henriettella fissanthera,4.0
Heteropsis oblongifolia,13.88888888888889
Hieronyma oblonga,4.0
Holocalyx balansae,17.8
Homolepis aturensis,1.3
Hovenia dulcis,5.572413793
Hyeronima alchorneoides,4.323404255404255
Hymenaea altissima,49.432432432432435
Hymenaea courbaril,49.432432432432435
Hymenaea oblongifolia,25.5
Hymenaea stigonocarpa,17.4
Inga acreana,25.0
Inga acrocephala ,40.0
Inga alba,12.5
Inga bonplandiana,20.0
Inga cylindrica,18.1111111
Inga edulis,13.125
Inga gracilifolia,18.4
Inga huberi,40.0
Inga ingoides,17.5
Inga leiocalycina,21.25
Inga macrophylla ,34.166666666666664
Inga marginata,12.5
Inga pezizifera,44.9
Inga rubiginosa,37.9
Inga semialata,12.5
Inga stenoptera,17.5
Inga tenuistipula,28.5
Inga thibaudiana,18.75
Iriartea deltoidea,32.25
Iryanthera crassifolia,19.95
Iryanthera sagotiana,23.866666666666664
Jacaratia digitata,45.0
Jessenia bataua,22.5
Lacmellea aculeata,9.3605
Lacmellea ramosissima,9.4934
Laetia corymbulosa,12.3
Laetia procera,4.192105263
Lantana camara,3.833333333
Lecythis pisonis,152.5142857142857
Leonia glycycarpa,52.5
Licania membranacea,7.793777778
Lithraea molleoides,6.023166667000001
Maclura tinctoria,31.65
Mangifera indica,8.0
Manilkara bidentata,31.628571428571433
Manilkara huberi,33.0
Maquira calophylla,50.0
Marcgravia polyantha,15.0
Maripa janusiana,12.5
Maripa peruviana,15.0
Matayba elaeagnoides,15.0
Matisia obliquifolia,19.1
Mauritia flexuosa,36.42056074766355
Mauritiella aculeata,37.5
Maximiliana maripa,27.75
Maytenus macrocarpa,7.0
Mendoncia glomerata,6.011111111
Mendoncia hoffmannseggiana,8.0
Mendoncia odorata,13.5
Miconia acuminifera,8.591176470588236
Miconia albicans,5.8
Miconia cuspidata,3.277227722772277
Miconia flammea,3.2300000000000004
Miconia holosericea,6.675
Miconia poeppigii,3.1
Micropholis caudata,19.5
Micropholis guyanensis ,17.0
Micropholis mensalis,17.212
Micropholis obscura,16.5
Micropholis venulosa,11.066666669999998
Monstera adansonii,7.714285714285714
Morus insignis,2.5
Mouriri collocarpa,28.4
Mouriri crassifolia,11.733333333333334
Mouriri elliptica,27.313333333333333
Moutabea aculeata,39.7
Moutabea guianensis,13.0
Musa velutina,29.0
Naucleopsis ulei,37.5
Nectandra cuspidata,9.208571428571428
Neea robusta,10.0
Norantea guianensis,16.166666666666668
Ocotea cernua,7.0
Ocotea oblonga,13.0
Ocotea percurrens,6.5
Odontocarya emarginata,13.6
Odontocarya petiolaris,14.0
Odontocarya tripetala,6.458333332916667
Oenocarpus bacaba,14.0
Oenocarpus mapora,12.916666666666666
Osteophloeum platyspermum,27.85
Oxandra mediocris ,10.0
Pacouria guianensis,110.0
Parahancornia fasciculata,31.75
Parinari excelsa,25.0
Parinari obtusifolia,20.0
Parkia multijuga,110.0
Parkia pendula,20.9
Paspalum conjugatum,1.5
Passiflora edulis,50.8
Passiflora involucrata,45.0
Paullinia capreolata,13.333333333333334
Paullinia faginea,16.0
Paullinia obovata,30.681818181818183
Pera arborea,10.0
Perebea mollis,26.8
Perebea xanthochyma,13.721428571428572
Pereskia aculeata,23.1
Peritassa laevigata,31.005000000000003
Philodendron appendiculatum,2.5
Philodendron corcovadense,6.0
Philodendron crassinervium,9.0
Philodendron eximium,1.0
Philodendron obliquifolium,28.3
Phoradendron piperoides,4.0087
Phyllanthus attenuatus,4.168272727
Phytelephas aequatorialis,26.48133333
