plant_species,s_width
Abuta grandifolia,9.990909090909092
Abuta selloana ,11.0
Acalypha alopecuroidea,0.9
Acca sellowiana,1.380952381
Acrocomia aculeata,23.8
Aechmea rubiginosa,4.0
Alibertia hadrantha,9.0
Anacardium giganteum,6.0
Anacardium spruceanum,16.0
Ananas ananassoides,2.2580645161290325
Anomospermum reticulatum,22.5
Apeiba aspera,1.6272727272727272
Araucaria angustifolia,14.890909090909092
Astrocaryum aculeatum,6.233333333
Astrocaryum jauari,25.0
Astrocaryum murumuru,25.0
Attalea phalerata,7.111111111
Batocarpus orinocensis,9.107142857142858
Bellucia grossularioides,0.7416666666666667
Bellucia pentamera,0.25
Bocageopsis multiflora,5.5
Borreria latifolia,1.25
Bromelia plumieri,3.4838709677419355
Brosimum alicastrum,9.73076923076923
Brosimum guianensis,6.5
Brosimum lactescens,8.924528301886792
Brosimum parinarioides,6.6
Brosimum rubescens,5.55
Buchenavia grandis,11.182142857142859
Bursera inversa,12.028571428571427
Byrsonima crispa,8.05
Byrsonima gardneriana,5.0
Byrsonima orbignyana,7.0
Campomanesia guaviroba,6.0
Campomanesia neriiflora,9.0
Campomanesia speciosa,10.0
Caryocar glabrum,23.8
Casearia macrocarpa,4.809090909
Cassia moschata,5.633333333333334
Castilla ulei,8.5
Cayaponia granatensis,10.375
Cecropia angustifolia,0.7960000002500001
Cecropia cinerea,1.0458666666666667
Cecropia engleriana,1.3
Cecropia glaziovi,1.1
Cecropia hololeuca,1.0
Cecropia membranacea,1.8416666666666666
Cecropia obtusa,0.5
Cecropia obtusifolia,1.125
Cecropia pachystachya,1.0458666666666667
Cecropia sciadophylla,1.1571428571428573
Cecropia telealba,0.7
Celtis schippii,5.15
Cestrum racemosum,2.2
Cheiloclinium hippocrateoides,12.26666667
Chorisia speciosa,7.980000000000001
Chrysophyllum amazonicum,4.0
Chrysophyllum lucentifolium,12.057142857142857
Chrysophyllum manaosense,12.5
Chrysophyllum parvulum,8.5
Chrysophyllum pomiferum,8.0
Chrysophyllum prieurii,17.0
Chrysophyllum viride,5.0
Cissus sicyoides ,3.5
Cissus trianae,4.3
Citrus sinensis,4.7
Clarisia racemosa,12.715384615384616
Clidemia urceolata,0.525
Clitoria javitensis,9.450000000000001
Clusia palmicida,2.496
Clusia parviflora,2.0
Coccoloba coronata,5.599999999999999
Coccoloba densifrons,8.242857142857144
Coccoloba mollis,5.3
Copaifera langsdorfii,8.925925925925926
Copernicia alba,9.264705882
Cordia bicolor,7.0
Cordia nodosa,7.1243243243243235
Couma macrocarpa,8.74736842094737
Coussapoa orthoneura,1.15
Coussapoa ovalifolia,1.6
Coussapoa villosa,1.8999999999999997
Crepidospermum rhoifolium,7.242857142857143
Cryptocarya aschersoniana,20.0
Cryptocarya mandioccana,15.2
Cryptocarya moschata,15.0
Dendropanax caucanus,4.05
Dialium gianense,8.1875
Dicranostyles ampla,12.5
Dimorphandra mollis,6.0
Dioclea virgata,7.0
Diospyros hispida,5.29
Dipteryx micrantha,29.296296296296298
Dipteryx panamensis,15.0
Doliocarpus multiflorus,4.642857142857143
Drypetes variabilis,9.65
Ecclinusa guianensis,13.0
Ecclinusa lanceolata,15.0
Ecclinusa ramiflora,11.2
Elephantomene eburnea,25.0
Endlicheria sericea,15.5
Enterolobium contortisiliquum,17.4
Enterolobium cyclocarpum,15.0
Enterolobium schomburgkii,4.85
Eugenia cerasiflora,17.16666667
Eugenia cribata,14.2
Eugenia florida,5.0
Eugenia nesiotica,12.818181818181818
Eugenia punicifolia,6.0
Euterpe edulis,11.0
Ficus americana,0.9583333333333334
Ficus andicola,0.9583333333333334
Ficus benjamina,0.410526316
Ficus clusiifolia,0.7
Ficus gomelleira,1.2083333333333333
Ficus guianensis,0.9583333333333334
Ficus insipida,1.4
Ficus nymphaeifolia,1.0
Ficus obtusifolia,0.9
Ficus pertusa,0.75
Ficus sphenophylla,0.75
Ficus trigona,0.875
Ficus usiacurina,0.9800000000000001
Fimbristylis dichotoma,0.770909091
Garcinia macrophylla,12.597222222222221
Garcinia madruno,9.9
Genipa americana,9.200000000000001
Gleasonia uaupensis,8.0
Goupia glabra,1.0
Guapira cuspidata,5.5
Guapira guianensis,3.36
Guarea glabra,15.0
Guatteria decurrens,9.5
Guatteria ferruginea,4.645161290322581
Guatteria insculpta,7.0
Guatteria olivacea,4.925
Guatteria punctata,4.925
Guazuma mutamba,1.5
Guazuma ulmifolia,1.5
Guettarda viburnoides,3.65
Gustavia hexapetala,10.0
Harrisia bonplandii,1.8
Hebepetalum humiriifolium,0.75
Hedyosmum cuatrecazanum,2.75
Heisteria nitida,6.0
Heisteria silvianii,12.0
Helicostylis pedunculata,4.0
Helicostylis scabra,5.0
Helicostylis tomentosa,6.125
Henriettella fissanthera,0.375
Heteropsis oblongifolia,6.137931034482759
Hieronyma oblonga,2.85
Homolepis aturensis,0.4375
Hovenia dulcis,3.225
Hyeronima alchorneoides,2.142857142857143
Hymenaea altissima,17.858695652173914
Hymenaea courbaril,17.858695652173914
Hymenaea oblongifolia,11.0
Hymenaea stigonocarpa,12.684
Inga acreana,7.795454545454546
Inga acrocephala ,11.0
Inga alba,6.269886363636363
Inga bonplandiana,7.3
Inga cylindrica,7.650000000000001
Inga edulis,14.996651785714286
Inga gracilifolia,8.9
Inga ingoides,5.733333333
Inga leiocalycina,10.58947368
Inga macrophylla ,17.547619047619047
Inga marginata,7.3522727272727275
Inga pezizifera,10.0
Inga rubiginosa,9.0
Inga semialata,7.3522727272727275
Inga stenoptera,9.0
Inga tenuistipula,9.4
Inga thibaudiana,4.8
Iriartea deltoidea,23.381147540983605
Iryanthera sagotiana,21.9
Jacaratia digitata,3.75
Laetia corymbulosa,2.2100558659217877
Laetia procera,2.25
Lecythis pisonis,25.823076923076925
Leonia glycycarpa,8.761363636363637
Lithraea molleoides,3.4266666670000006
Maclura tinctoria,1.9
Mangifera indica,18.5
Manilkara bidentata,13.086919831223629
Manilkara huberi,13.030715935334873
Maquira calophylla,16.7
Maripa janusiana,8.0
Maripa peruviana,9.65
Matayba elaeagnoides,7.0
Mauritia flexuosa,36.666666666666664
Maximiliana maripa,20.0
Maytenus macrocarpa,5.4
Mendoncia odorata,8.075
Miconia albicans,1.0
Miconia cuspidata,0.5875621890547263
Miconia flammea,1.85
Miconia holosericea,1.25
Miconia poeppigii,0.5449999999999999
Miconia ternatifolia,0.8
Micropholis caudata,11.0
Micropholis guyanensis ,8.583333333333334
Micropholis mensalis,8.477
Micropholis obscura,7.1000000000000005
Minquartia guianensis,12.0
Monstera adansonii,5.0
Mouriri collocarpa,17.95
Mouriri crassifolia,5.4
Mouriri elliptica,11.881147540983607
Moutabea aculeata,6.05
Moutabea guianensis,17.9
Musa velutina,2.5
Naucleopsis ulei,4.468421053
Nectandra cuspidata,9.9
Neea laxa,4.0
Norantea guianensis,7.138888888888889
Ocotea cernua,6.0
Ocotea oblonga,11.55
Ocotea percurrens,8.0
Odontocarya petiolaris,8.55
Odontocarya tripetala,5.55
Oenocarpus mapora,14.227272727272727
Osteophloeum platyspermum,10.95
Oxandra mediocris ,7.2272727272727275
Pacouria guianensis,15.7
Parahancornia fasciculata,6.6
Parinari excelsa,16.0
Parkia multijuga,13.6
Parkia pendula,4.95
Paspalum conjugatum,1.4
Passiflora edulis,1.766666667
Passiflora involucrata,4.5
Paullinia capreolata,9.0
Paullinia faginea,9.0
Paullinia obovata,7.541666666666667
Pera arborea,6.67741935483871
Perebea mollis,6.677083333333333
Perebea xanthochyma,5.1642857142857155
Pereskia aculeata,6.0
Peritassa laevigata,13.0
Philodendron appendiculatum,0.53
Philodendron corcovadense,1.8133333333333332
Philodendron eximium,0.10000000000000002
Philodendron obliquifolium,1.335714286
Phoradendron piperoides,2.0
Phytelephas aequatorialis,31.867
Piper aduncum ,0.7469696968181818
Posoqueria latifolia,10.979487179589743
Pourouma bicolor,7.447916666666667
Pourouma minor,9.921875
Pourouma mollis,7.4772727272727275
Pourouma petiolulata,7.7375
Pourouma tomentosa,8.379999999999999
Pouteria bapeba,13.0
Pouteria bilocularis,2.5
Pouteria caimito ,11.990384615384615
Pouteria campanulata,9.945
Pouteria cuspidata,10.620000000000001
Pouteria durlandii,12.19090909090909
Pouteria egregia,10.1
Pouteria engleri,11.0
Pouteria guianensis,7.7272727272727275
Pouteria hispida,7.7272727272727275
Pouteria laevigata,21.786956521739132
Pouteria oblanceolata,14.5
Pouteria procera,17.5
Pouteria reticulata,10.670454545454545
Pouteria torta,7.380952380952381
Prockia crucis,2.0
Protium apiculatum,8.0
Protium crenatum,8.727272727272727
Protium glabrescens,6.361111111111111
Protium heptaphyllum,6.4
Protium rhoifolium,7.85
Protium robustum,6.271428571428571
Protium sagotianum ,7.5687500000000005
Prunus myrtifolia ,11.0
Pseudolmedia hirsuta,6.6
Pseudolmedia laevigata,5.389583333333333
Pseudolmedia laevis ,5.398780487804879
Pseudolmedia obliqua,6.0
Pseudolmedia rigida,3.5
Pseudomalmea diclina,10.675
Psidium guajava,6.0
Psychotria carthagenesis,3.5238095238095237
Psychotria mapourioides,2.0
Psychotria suterella,2.658823529411765
Randia hondensis ,8.9
Rauvolfia paraensis,16.0
Rauvolfia sellowii,3.7
Rheedia macrophylla,12.153571428571428
Rhodostemonodaphne synandra,11.5
Rollinia dolichopetala,3.7488
Rollinia edulis,4.256973684210527
Rollinia mucosa ,5.0
Rollinia sericea,5.0
Ruizodendron ovale ,11.708333333333334
Salacia cordata,25.0
Sapium stylare,5.0
Sarcaulus brasiliensis ,9.88888888888889
Schefflera paraensis,5.4
Schlegelia ramizii,1.0444444444444445
Scleria melaleuca,1.795
Senna macranthera,4.5
Simarouba amara,8.075000000000001
Sloanea guianensis,5.981081081081081
Socratea exorrhiza,17.48148148148148
Sorocea steinbachii,5.0
Souroubea sympetala ,1.6499999999999997
Spondias mombin,16.357142857142858
Spondias venulosa ,17.6
Strychnos amazonica,11.25
Strychnos erichsonii,14.0
