mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citations
Alouatta seniculus,NT,S,Cecropia obtusa,Urticaceae,N,F,I,NA,0.5,0.8,"Guillotin 1994, Julliot 1996"
Alouatta seniculus,NT,S,Cecropia telealba,Urticaceae,N,F,I,3528,0.7,23.8,Giraldo 2007
Alouatta seniculus,NT,S,Ficus pertusa,Moraceae,N,F,I,53.83647505,0.75,9.381818182,Julliot 1996
Alouatta seniculus,NT,S,Ficus trigona,Moraceae,N,F,I,187.2727273,0.875,17.5,Julliot 1996
Alouatta seniculus,NT,S,Ficus guianensis,Moraceae,N,F,I,114.9411765,0.958333333,12.3537037,Julliot 1996
Alouatta seniculus,NT,S,Goupia glabra,Goupiaceae,N,F,I,3.967741935,1,4.3,"Guillotin 1994, Julliot 1996, Andresen 2000"
Alouatta seniculus,NT,S,Ficus nymphaeifolia,Moraceae,N,F,I,350,1,23,"Regan 2001, Julliot 1996"
Alouatta seniculus,NT,S,Cecropia sciadophylla,Urticaceae,N,F,I,1950,1.157142857,15,"Guillotin 1994, Julliot 1996"
Alouatta seniculus,NT,S,Ficus insipida,Moraceae,N,F,I,119.3548387,1.4,24.02061856,Stevenson 2002
Alouatta seniculus,NT,S,Coussapoa ovalifolia,Urticaceae,N,F,I,NA,1.6,NA,Andresen 1999
Alouatta seniculus,NT,S,Phoradendron piperoides,Santalaceae ,N,F,I,NA,2,4.0087,Julliot 1996
Alouatta seniculus,NT,S,Pouteria bilocularis,Sapotaceae,N,F,I,1,2.5,19.8,Julliot 1996
Alouatta seniculus,NT,S,Trichostigma octandra,Phytolaccaceae,N,F,I,1,3.3,6,Andresen 1999
Alouatta seniculus,NT,S,Guapira guianensis,Nyctaginaceae,N,F,I,NA,3.36,NA,Grafton 2004
Alouatta seniculus,NT,S,Psychotria carthagenesis,Rubiaceae,N,F,I,2,3.523809524,5.761538462,Julliot 1996
Alouatta seniculus,NT,S,Helicostylis pedunculata,Moraceae,N,F,I,NA,4,5,"Regan 2001, Julliot 1996"
Alouatta seniculus,NT,S,Rollinia edulis,Annonaceae,N,F,I,17.5,4.256973684,21.3,Santos-Heredia 2010
Alouatta seniculus,NT,S,Guatteria ferruginea,Annonaceae,N,F,I,NA,4.64516129,5.5,Obregón 2007
Alouatta seniculus,NT,S,Parkia pendula,Fabaceae,N,D,I,21.5,4.95,20.9,Andresen 2000
Alouatta seniculus,NT,S,Helicostylis scabra,Moraceae,N,F,I,NA,5,11.9,"Andreson 2004, Andresen 2000"
Alouatta seniculus,NT,S,Perebea xanthochyma,Moraceae,N,F,I,2.571428571,5.164285714,13.72142857,Yumoto 1999
Alouatta seniculus,NT,S,Tapirira guianensis,Anacardiaceae,N,F,I,1,5.171428571,7.916666667,Julliot 1996
Alouatta seniculus,NT,S,Xylopia polyantha,Annonaceae,N,D,I,2,5.308961039,NA,Obregón 2007
Alouatta seniculus,NT,S,Pseudolmedia laevigata,Moraceae,N,F,I,1,5.389583333,10.3,Yumoto 1999
Alouatta seniculus,NT,S,Pseudolmedia laevis ,Moraceae,N,F,I,1,5.398780488,9.642857143,"Stevenson 2002, Yumoto 1999, Santos-Heredia 2011"
Alouatta seniculus,NT,S,Mouriri crassifolia,Melastomataceae,N,F,I,3.5,5.4,11.73333333,"Regan 2001, Julliot 1996"
Alouatta seniculus,NT,S,Schefflera paraensis,Araliaceae,N,F,I,NA,5.4,14,"Feer 1999, Julliot 1996"
Alouatta seniculus,NT,S,Guapira cuspidata,Nyctaginaceae,N,F,I,1,5.5,8.071428571,Stevenson 2002
Alouatta seniculus,NT,S,Bocageopsis multiflora,Annonaceae,N,F,I,1.5,5.5,5.5,Gomez 2004
Alouatta seniculus,NT,S,Brosimum rubescens,Moraceae,N,F,I,NA,5.55,13.67142857,Andresen 2000
Alouatta seniculus,NT,S,Helicostylis tomentosa,Moraceae,N,F,I,12.13712121,6.125,25,"Gomez 2004, Andreson 2004, Andresen 2000"
Alouatta seniculus,NT,S,Inga alba,Leguminosae,N,F,I,10.171875,6.269886364,12.5,Andresen 2000
Alouatta seniculus,NT,S,Protium robustum,Burseraceae,N,F,D,2.85,6.271428571,25.8,Yumoto 1999
Alouatta seniculus,NT,S,Protium heptaphyllum,Burseraceae,N,F,D,NA,6.4,15.4,Obregón 2007
Alouatta seniculus,NT,S,Brosimum guianensis,Moraceae,N,F,I,1.833333333,6.5,15.6125,Regan 2001
Alouatta seniculus,NT,S,Brosimum parinarioides,Moraceae,N,F,I,NA,6.6,23.1,"Julliot 1996, Andresen 2000"
Alouatta seniculus,NT,S,Parahancornia fasciculata,Apocynaceae,N,F,I,NA,6.6,31.75,"Feer 1999, Julliot 1997, Julliot 1996"
Alouatta seniculus,NT,S,Perebea mollis,Moraceae,N,F,I,13.71428571,6.677083333,26.8,Yumoto 1999
Alouatta seniculus,NT,S,Pera arborea,Peraceae,N,F,I,NA,6.677419355,10,Obregón 2007
Alouatta seniculus,NT,S,Talisia retusa,Sapindaceae,N,F,I,NA,7,29.5,Grafton 2004
Alouatta seniculus,NT,S,Trymatococcus oligandrus,Moraceae,N,F,I,NA,7,13,Julliot 1996
Alouatta seniculus,NT,S,Micropholis obscura,Sapotaceae,N,F,I,1,7.1,16.5,"Regan 2001, Julliot 1996"
Alouatta seniculus,NT,S,Vitex capitata,Lamiaceae,N,F,I,NA,7.16,NA,Grafton 2004
Alouatta seniculus,NT,S,Pouteria torta,Sapotaceae,N,F,I,2.768421053,7.380952381,36.71875,"Julliot 1997, Julliot 1996"
Alouatta seniculus,NT,S,Pourouma bicolor,Urticaceae,N,F,I,1,7.447916667,11.91666667,Yumoto 1999
Alouatta seniculus,NT,S,Pourouma mollis,Urticaceae,N,F,I,1,7.477272727,11.5,Julliot 1996
Alouatta seniculus,NT,S,Inga cylindrica,Leguminosae,N,F,I,8,7.65,18.1111111,Stevenson 2002
Alouatta seniculus,NT,S,Pouteria guianensis,Sapotaceae,N,F,I,2.941176471,7.727272727,36.47058824,Regan 2001
Alouatta seniculus,NT,S,Pouteria hispida,Sapotaceae,N,F,I,2.941176471,7.727272727,36.47058824,Julliot 1996
Alouatta seniculus,NT,S,Inga acreana,Leguminosae,N,F,I,7.872727273,7.795454545,25,Stevenson 2002
Alouatta seniculus,NT,S,Chrysophyllum pomiferum,Sapotaceae,N,F,I,5,8,27.5,Andresen 2000
Alouatta seniculus,NT,S,Ocotea percurrens,Lauraceae,N,F,I,NA,8,6.5,"Andreson 2004, Andresen 2000"
Alouatta seniculus,NT,S,Byrsonima crispa,Malpighiaceae,N,F,I,1,8.05,11,"Andreson 2004, Andresen 2000"
