mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citation_number,citations
Alouatta seniculus,NT,S,Coussapoa ovalifolia,Urticaceae,N,F,I,NA,1.6,NA,1,Andresen 1999
Alouatta seniculus,NT,S,Trichostigma octandra,Phytolaccaceae,N,F,I,1,3.3,6,1,Andresen 1999
Alouatta seniculus,NT,S,Parkia pendula,Fabaceae,N,D,I,21.5,4.95,20.9,2,Andresen 2000
Alouatta seniculus,NT,S,Brosimum rubescens,Moraceae,N,F,I,NA,5.55,13.67142857,2,Andresen 2000
Alouatta seniculus,NT,S,Inga alba,Leguminosae,N,F,I,10.171875,6.269886364,12.5,2,Andresen 2000
Alouatta seniculus,NT,S,Chrysophyllum pomiferum,Sapotaceae,N,F,I,5,8,27.5,2,Andresen 2000
Alouatta seniculus,NT,S,Pouteria cuspidata,Sapotaceae,N,F,I,1.071428571,10.62,20.53333333,2,Andresen 2000
Alouatta seniculus,NT,S,Pouteria reticulata,Sapotaceae,N,F,I,1.92,10.67045455,13.5,2,Andresen 2000
Alouatta seniculus,NT,S,Chrysophyllum manaosense,Sapotaceae,N,F,I,3.5,12.5,30,2,Andresen 2000
Alouatta seniculus,NT,S,Pouteria oblanceolata,Sapotaceae,N,F,I,1,14.5,30,2,Andresen 2000
Alouatta seniculus,NT,S,Anacardium spruceanum,Anacardiaceae,N,F,I,1,16,36,2,Andresen 2000
Alouatta seniculus,NT,S,Socratea exorrhiza,Arecaceae,N,F,I,1,17.48148148,21.66666667,2,Andresen 2000
Alouatta seniculus,NT,S,Mendoncia hoffmannseggiana,Acanthaceae,N,D,D,NA,NA,8,2,Andresen 2000
Alouatta seniculus,NT,S,Clarisia iricifolia,Moraceae,N,F,I,NA,NA,NA,2,Andresen 2000
Alouatta seniculus,NT,S,Micropholis venulosa,Sapotaceae,N,F,I,NA,NA,11.06666667,2,Andresen 2000
Alouatta seniculus,NT,S,Helicostylis scabra,Moraceae,N,F,I,NA,5,11.9,2,Andresen 2000
Alouatta seniculus,NT,S,Ocotea percurrens,Lauraceae,N,F,I,NA,8,6.5,2,Andresen 2000
Alouatta seniculus,NT,S,Byrsonima crispa,Malpighiaceae,N,F,I,1,8.05,11,2,Andresen 2000
Alouatta seniculus,NT,S,Pourouma minor,Urticaceae,N,F,I,1,9.921875,14.16666667,2,Andresen 2000
Alouatta seniculus,NT,S,Buchenavia grandis,Combretaceae,N,F,I,1,11.18214286,18,2,Andresen 2000
Alouatta seniculus,NT,S,Pouteria durlandii,Sapotaceae,N,F,I,2.166666667,12.19090909,63.6,2,Andresen 2000
Alouatta seniculus,NT,S,Pourouma guianensis,Urticaceae,N,F,I,1,NA,17.07407407,2,Andresen 2000
Alouatta seniculus,NT,S,Micropholis guyanensis ,Sapotaceae,N,F,I,1.5,8.583333333,17,2,Andresen 2000
Alouatta seniculus,NT,S,Osteophloeum platyspermum,Myristicaceae,N,F,D,1,10.95,27.85,2,Andresen 2000
Alouatta seniculus,NT,S,Helicostylis tomentosa,Moraceae,N,F,I,12.13712121,6.125,25,2,Andresen 2000
Alouatta seniculus,NT,S,Spondias mombin,Anacardiaceae,N,F,I,1.357142857,16.35714286,25,2,Andresen 2000
Alouatta seniculus,NT,S,Goupia glabra,Goupiaceae,N,F,I,3.967741935,1,4.3,2,Andresen 2000
Alouatta seniculus,NT,S,Brosimum parinarioides,Moraceae,N,F,I,NA,6.6,23.1,2,Andresen 2000
Alouatta seniculus,NT,S,Minquartia guianensis,Olacaceae,N,F,I,NA,12,NA,2,Andresen 2000
Alouatta seniculus,NT,S,Manilkara bidentata,Sapotaceae,N,F,I,1.099074074,13.08691983,31.62857143,2,Andresen 2000
Alouatta seniculus,NT,S,Micropholis guyanensis ,Sapotaceae,N,F,I,1.5,8.583333333,17,3,Andresen 2001
Alouatta seniculus,NT,S,Helicostylis scabra,Moraceae,N,F,I,NA,5,11.9,4,Andreson 2004
Alouatta seniculus,NT,S,Ocotea percurrens,Lauraceae,N,F,I,NA,8,6.5,4,Andreson 2004
Alouatta seniculus,NT,S,Byrsonima crispa,Malpighiaceae,N,F,I,1,8.05,11,4,Andreson 2004
Alouatta seniculus,NT,S,Pourouma minor,Urticaceae,N,F,I,1,9.921875,14.16666667,4,Andreson 2004
Alouatta seniculus,NT,S,Buchenavia grandis,Combretaceae,N,F,I,1,11.18214286,18,4,Andreson 2004
Alouatta seniculus,NT,S,Pouteria durlandii,Sapotaceae,N,F,I,2.166666667,12.19090909,63.6,4,Andreson 2004
Alouatta seniculus,NT,S,Pourouma guianensis,Urticaceae,N,F,I,1,NA,17.07407407,4,Andreson 2004
Alouatta seniculus,NT,S,Micropholis guyanensis ,Sapotaceae,N,F,I,1.5,8.583333333,17,4,Andreson 2004
Alouatta seniculus,NT,S,Helicostylis tomentosa,Moraceae,N,F,I,12.13712121,6.125,25,4,Andreson 2004
Alouatta seniculus,NT,S,Minquartia guianensis,Olacaceae,N,F,I,NA,12,NA,4,Andreson 2004
Alouatta seniculus,NT,S,Manilkara bidentata,Sapotaceae,N,F,I,1.099074074,13.08691983,31.62857143,4,Andreson 2004
Alouatta seniculus,NT,S,Micropholis guyanensis ,Sapotaceae,N,F,I,1.5,8.583333333,17,5,Feer 1999
Alouatta seniculus,NT,S,Schefflera paraensis,Araliaceae,N,F,I,NA,5.4,14,5,Feer 1999
Alouatta seniculus,NT,S,Parahancornia fasciculata,Apocynaceae,N,F,I,NA,6.6,31.75,5,Feer 1999
Alouatta seniculus,NT,S,Chrysophyllum lucentifolium,Sapotaceae,N,F,I,4.01,12.05714286,57,5,Feer 1999
Alouatta seniculus,NT,S,Chrysophyllum lucentifolium,Sapotaceae,N,F,I,4.01,12.05714286,57,6,Feer 2002
Alouatta seniculus,NT,S,Cecropia telealba,Urticaceae,N,F,I,3528,0.7,23.8,7,Giraldo 2007
Alouatta seniculus,NT,S,Allophylus mollis,Sapindaceae,N,F,I,1,NA,8.535869565,7,Giraldo 2007
Alouatta seniculus,NT,S,Miconia acuminifera,Melastomataceae,N,F,I,95,NA,8.591176471,7,Giraldo 2007
Alouatta seniculus,NT,S,Dendropanax macrophyllus,Araliaceae,N,F,I,NA,NA,9.757142857,7,Giraldo 2007
Alouatta seniculus,NT,S,Bocageopsis multiflora,Annonaceae,N,F,I,1.5,5.5,5.5,8,Gomez 2004
Alouatta seniculus,NT,S,Pouteria engleri,Sapotaceae,N,F,I,2,11,22,8,Gomez 2004
Alouatta seniculus,NT,S,Cheiloclinium hippocrateoides,Celastraceae,N,F,D,3,12.26666667,21.43333333,8,Gomez 2004
Alouatta seniculus,NT,S,Byrsonima stipulacea,Malpighiaceae,N,F,I,NA,NA,10.98,8,Gomez 2004
Alouatta seniculus,NT,S,Pourouma villosa,Urticaceae,N,F,I,NA,NA,8.944176471,8,Gomez 2004
Alouatta seniculus,NT,S,Osteophloeum platyspermum,Myristicaceae,N,F,D,1,10.95,27.85,8,Gomez 2004
Alouatta seniculus,NT,S,Helicostylis tomentosa,Moraceae,N,F,I,12.13712121,6.125,25,8,Gomez 2004
Alouatta seniculus,NT,S,Clarisia racemosa,Moraceae,N,F,I,1,12.71538462,16.58333333,8,Gomez 2004
Alouatta seniculus,NT,S,Guapira guianensis,Nyctaginaceae,N,F,I,NA,3.36,NA,9,Grafton 2004
Alouatta seniculus,NT,S,Talisia retusa,Sapindaceae,N,F,I,NA,7,29.5,9,Grafton 2004
Alouatta seniculus,NT,S,Vitex capitata,Lamiaceae,N,F,I,NA,7.16,NA,9,Grafton 2004
Alouatta seniculus,NT,S,Brosimum lactescens,Moraceae,N,F,I,1.45530303,8.924528302,15,9,Grafton 2004
Alouatta seniculus,NT,S,Byrsonima schomburgkiana,Malpighiaceae,N,F,I,NA,NA,NA,9,Grafton 2004
Alouatta seniculus,NT,S,Pouteria laevigata,Sapotaceae,N,F,I,4,21.78695652,35.608,9,Grafton 2004
Alouatta seniculus,NT,S,Spondias mombin,Anacardiaceae,N,F,I,1.357142857,16.35714286,25,10,Guillotin 1994
