Plant_Species,Synonyms,Family,Wild_Not_Wild,Color,Fleshy_Dry,Dehiscent_Indehiscent,Number_S_per_F,Number_S_per_F_Uncertainty,Number_S_per_F_Lower_Bound,Number_S_per_F_Upper_Bound,Number_S_per_F_SD_SE,Number_S_per_F_Sample_Size,S_Length,S_Length_Uncertainty,S_Length_Lower_Bound,S_Length_Upper_Bound,S_Length_SD_SE,S_Length_Sample_Size,S_Width,S_Width_Uncertainty,S_Width_Lower_Bound,S_Width_Upper_Bound,S_Width_SD_SE,S_Width_Sample_Size,S_Mass,S_Mass_Dry_Wet,S_Mass_Uncertainty,S_Mass_Lower_Bound,S_Mass_Upper _Bound,S_Mass_SD_SE,S_Mass_Sample_Size,F_Length ,F_Length_Uncertainty,F_Length_Lower_Bound,F_Length_Upper_Bound,F_Length_SD_SE,F_Length_Sample_Size,F_Width,F_Width_Uncertainty,F_Width_Lower_Bound,F_Width_Upper_Bound,F_Width_SD_SE,F_Width_Sample_Size,F_Mass,F_Mass_Dry_Wet,F_Mass_Uncertainty,F_Mass_Lower_Bound,F_Mass_Upper_Bound,F_Mass_SD_SE,F_Mass_Sample_Size,Citations,
Abuta grandifolia,Abuta concolor,Menispermaceae,W,Yellow,F,I,1,None Specified,,,,6,19.8,Range,19.4,20.5,,6,9.15,Range,9,9.3,,6,1.07,NA,Range,0.69,1.23,,6,12,None Specified,,,,0,14.01,Range,13.7,14.5,,6,2.97,NA,Range,2.77,3.19,,6,"Stevenson 2023, Sánchez 2013, Link 2004, Kattge 2011, Foster 1985",
Abuta grandifolia,,,,,,,,,,,,,18,None Specified,,,,5,11,None Specified,,,,5,1.15,W,None Specified,,,,0,24.76,Range,23.2,26.4,,,12,None Specified,,,,5,,,,,,,,"Stevenson 2023, Sánchez 2013, Link 2004, Kattge 2011, Foster 1985",
Abuta grandifolia,,,,,,,,,,,,,,,,,,,,,,,,,0.97,D,None Specified,,,,0,22.5,None Specified,,,,6,,,,,,,,,,,,,,"Stevenson 2023, Sánchez 2013, Link 2004, Kattge 2011, Foster 1985",
Abuta selloana ,,Menispermaceae,W,Yellow,F,I,1,None Specified,,,,12.5,16,None Specified,,,,12.5,11,None Specified,,,,12.5,2.175,W,SD,,,0.02,2,32,None Specified,,,,12.5,17,None Specified,,,,12.5,5.7,W,None Specified,,,,12.5,"Pizo 2002, Galetti 2011, Galetti 2015",
Abuta selloana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,None Specified,,,,10,,,,,,,,,,,,,,"Pizo 2002, Galetti 2011, Galetti 2015",
Acalypha alopecuroidea,"Ricinocarpus alopecuroidea, Acalypha aristata, Ricinocarpus aristata",Euphorbiaceae,W,Gray,D,D,,Range,1,3,,0,1.2,None Specified,,,,1,0.9,None Specified,,,,1,,,,,,,,,Range,1,1.5,,0,,Range,0.9,1.2,,0,,,,,,,,"https://www.delta-intkey.com/famfs/www/euphor.htm, http://floranorthamerica.org/Acalypha_alopecuroidea, https://swbiodiversity.org/seinet/taxa/index.php?tid=4239&clid=3120&pid=20&taxauthid=1",
Acanthococos emensis,Acrocomia emensis,Arecaceae,W,Green,D,I,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,0,20,,,,,0,,,,,,,,https://eol.org/pages/31147028/data,
Acca sellowiana,Feijoa sellowiana,Myrtaceae,W,Green,F,I,,Range,20,40,,0,2.028571429,SD,,,0.257182537,21,1.380952381,SD,,,0.180607441,21,,W,Range,0.001334094,0.001439975,,0,,Range,27.74,59.95,,220,,Range,23.42,39.43,,220,,D,Range,18.57,40,,220,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7",
Acca sellowiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Range,40,100,,0,,Range,30,50,,0,104.3,NA,SD,,,14.1,10,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7",
Acca sellowiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.8,NA,SD,,,26.4,10,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7",
Acca sellowiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.90769231,NA,SD,,,27.70332295,13,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7",
Acca sellowiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.41666667,NA,SD,,,34.41579535,12,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7",
Acca sellowiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,NA,None Specified,,,,0,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7",
Acca sellowiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Range,20,250,,0,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7",
Acca sellowiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,Range,20,30,,0,"Ducroquet 2007, Ducroquet 2008, Santos 2018, Sganzerla 2020, Rossi 2007, León 2020, Beyhan 2011, Pescador 2009, https://www.treeshrubseeds.com/specieslist?id=667&ID2=7",
Aciotis aequatorialis,"Aciotis acuminifolia, Spennera acuminifolia, Aciotis amazonica, Aciotis dichotoma, Spennera dichotoma, Aciotis sphaeranthera, Spennera sphaeranthera, Spennera anomala",Melastomataceae,W,Red,F,D,,,,,,,,,,,,,,,,,,,,,,,,,,,Range,2.7,3.6,,0,,Range,2.2,3.1,,0,,,,,,,,Corrêa 2017,
Acrocomia aculeata,NA,Arecaceae,W,Green,D,I,1,None Specified,,,,1,,Range,25,35,,0,,Range,25,35,,0,5.36,W,Unknown +/-,,,0.97,100,46,None Specified,,,,0,,Range,35,50,,0,22.07,W,Unknown +/-,,,3.69,100,"Kissling 2019, Lescano 2015, Machado 2015, Mazzottini-dos-Santos 2014, Guimarães 2008, Donatti 2007",
Acrocomia aculeata,,,,,,,,,,,,,20.3,None Specified,,,,1,17.6,None Specified,,,,1,2.09,NA,SD,,,0.19,20,,Range,40,50,,0,42.5,None Specified,,,,0,19.2,W,Unknown +/-,,,2.7,30,"Kissling 2019, Lescano 2015, Machado 2015, Mazzottini-dos-Santos 2014, Guimarães 2008, Donatti 2007",
Acrocomia aculeata,,,,,,,,,,,,,,,,,,,,,,,,,1.37,NA,SD,,,0.18,20,34.68,Unknown +/-,,,2.62,100,34.17,Unknown +/-,,,2.32,100,66.76,NA,SD,,,5.41,20,"Kissling 2019, Lescano 2015, Machado 2015, Mazzottini-dos-Santos 2014, Guimarães 2008, Donatti 2007",
Acrocomia aculeata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,Unknown +/-,,,2.8,30,31.9,Unknown +/-,,,2.1,30,19.67,NA,SD,,,3.19,20,"Kissling 2019, Lescano 2015, Machado 2015, Mazzottini-dos-Santos 2014, Guimarães 2008, Donatti 2007",
Acrocomia aculeata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,SD,,,1.3,20,20.3,SD,,,0.8,20,,,,,,,,"Kissling 2019, Lescano 2015, Machado 2015, Mazzottini-dos-Santos 2014, Guimarães 2008, Donatti 2007",
Acrocomia aculeata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,SD,,,1.5,20,15.3,SD,,,1,20,,,,,,,,"Kissling 2019, Lescano 2015, Machado 2015, Mazzottini-dos-Santos 2014, Guimarães 2008, Donatti 2007",
Aechmea rubiginosa,Chevaliera rubiginosa,Bromeliaceae,W,Brown,F,I,,,,,,,,Range,5,7,,0,3,None Specified,,,,0,,,,,,,,,Range,15,20,,0,,Range,10,15,,0,,,,,,,,"Silva 2003, Link 2004, Stevenson 2023",
Aechmea rubiginosa,,,,,,,,,,,,,5.5,None Specified,,,,0,5,None Specified,,,,0,,,,,,,,24,None Specified,,,,0,28,None Specified,,,,0,,,,,,,,"Silva 2003, Link 2004, Stevenson 2023",
Aechmea rubiginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,None Specified,,,,0,,,,,,,,,,,,,,"Silva 2003, Link 2004, Stevenson 2023",
Agonandra brasiliensis,,Opiliaceae,W,Yellow,F,I,,,,,,,20.39,Range,15.7,24.1,,200,14.65,Range,12.1,16.7,,200,2.2,W,Range,1.07,2.9,,200,24.8,Unknown +/-,,,1.7,30,24.2,Unknown +/-,,,1.9,30,9.4,W,Unknown +/-,,,2,30,"Naazio 2017, Donatti 2007",
Agonandra brasiliensis,,,,,,,,,,,,,,,,,,,,,,,,,1.84,D,Range,0.67,2.47,,200,,,,,,,,,,,,,,,,,,,,"Naazio 2017, Donatti 2007",
Agonandra silvatica,,Opiliaceae,W,Yellow,F,I,,,,,,,,,,,,,,,,,,,,,,,,,,17.75,SD,,,2.333452378,2,10.45,SD,,,1.060660172,2,,,,,,,,http://legacy.tropicos.org/Image/100902838,
Alchorneopsis floribunda,Alchorneopsis portoricensis,Euphorbiaceae,W,Brown,F,D,,,,,,,5.2,None Specified,,,,1,3.1,SD,,,0.141421356,2,0.007,NA,None Specified,,,,16455,,,,,,,,,,,,,,,,,,,,http://specimens.kew.org/herbarium/K001206125,
Alchorneopsis floribunda,,,,,,,,,,,,,,Range,2.2,2.5,,0,,Range,2,2.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tokuka 2003, http://specimens.kew.org/herbarium/K001206125",
Alibertia edulis,"Amaioua edulis, Cordiera edulis, Gardenia edulis, Genipa edulis, Amaioua utilis",Rubiaceae,W,Black,F,I,35,None Specified,,,,0,6.4,None Specified,,,,10,,,,,,,0.015,D,None Specified,,,,10,,Range,20,40,,0,,Range,20,40,,0,30,NA,None Specified,,,,0,"Pellizzarro 2016, Daws 2005, Silva 2011, Bento 2016, Castro 2011, Costa 2023",
Alibertia edulis,,,,,,,,,,,,,,,,,,,,,,,,,0.0089,W,None Specified,,,,1,,,,,,,,,,,,,,,,,,,,"Pellizzarro 2016, Daws 2005, Silva 2011, Bento 2016, Castro 2011, Costa 2023",
Alibertia hadrantha,Cordiera hadrantha,Rubiaceae,W,Green,F,I,,Range,15,22,,0,,Range,8,10,,0,9,None Specified,,,,6,0.08,NA,None Specified,,,,0,,Range,33,37,,0,,,,,,,13.6,W,None Specified,,,,6,"Nordon 2015, Stevenson 2002, Link 2004",
Alibertia hadrantha,,,,,,,19,None Specified,,,,6,,,,,,,,,,,,,,,,,,,,30,None Specified,,,,0,,,,,,,4.19,D,None Specified,,,,6,"Nordon 2015, Stevenson 2002, Link 2004",
Allagoptera leucocalyx,"Allagoptera anisitsii, Allagoptera hassleriana, Diplothemium anisitsii, Diplothemium campestre, Diplothemium hasslerianum, Diplothemium jangadense, Diplothemium leucocalyx",Arecaceae,W,Green,D,I,,,,,,,,,,,,,,,,,,,,,,,,,,70,None Specified,,,,1,31.7,None Specified,,,,1,,,,,,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:8524-2,
Allophylus mollis,,Sapindaceae,W,Green,F,I,1,None Specified,,,,45,,,,,,,,,,,,,,,,,,,,,Range,7.7,12.1,,0,,Range,8,10.5,,0,0.3,W,None Specified,,,,45,"Londono 2007, García 2020",
Allophylus mollis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33,None Specified,,,,45,8.52,None Specified,,,,45,,,,,,,,"Londono 2007, García 2020",
Aloe aculeata,NA,Asphodelaceae,NW,Orange,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,18,None Specified,,,,0,10,None Specified,,,,0,,,,,,,,https://www.abebooks.com/book-search/title/aloes-south-africa/author/reynolds/,
Amaioua guianensis,"Duhamelia glabra, Hamelia glabra, Hamelia sessiliflora",Rubiaceae,W,Red,F,I,,,,,,,8,None Specified,,,,1,,,,,,,,,,,,,,17,None Specified,,,,12.5,10,None Specified,,,,12.5,,,,,,,,"Alves-Costa 2007, Lessa 2013, Galetti 2011",
Amaioua guianensis,,,,,,,,,,,,,4,None Specified,,,,0,,,,,,,,,,,,,,20,None Specified,,,,0,,,,,,,,,,,,,,"Alves-Costa 2007, Lessa 2013, Galetti 2011",
Ambelania acida,,Apocynaceae,W,Yellow,F,I,,,,,,,,,,,,,,,,,,,,,,,,,,,Range,70,120,,0,,Range,25,40,,0,60,W,Unknown +/-,,,18,0,"Stone 2005, Zarucchi 1988",
Ambrosia tenuifolia,"Franseria tenuifolia, Gaertneria tenuifolia, Ambrosia fruticosa, Ambrosia longistylis, Ambrosia maritima, Ambrosia simulans, Xanthidium tenuifolium",Asteraceae,W,Yellow,D,I,,,,,,,,,,,,,,,,,,,0.0053,D,None Specified,,,,0,3,None Specified,,,,0,3,None Specified,,,,3,,,,,,,,"Kattge 2011, http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=101325",
Anacardium giganteum,,Anacardiaceae,W,Brown/Orange/Red,F,I,1,None Specified,,,,0,25,None Specified,,,,0,6,Range,,,,0,3.26,D,None Specified,,,,17,95,None Specified,,,,0,50,None Specified,,,,0,,,,,,,,"Pereira and Barbosa et al. 2021, Hammond 1995, Guimarães 2008",
Anacardium giganteum,,,,,,,,,,,,,9,None Specified,,,,0,,,,,,,4.47,W,None Specified,,,,17,,,,,,,,,,,,,,,,,,,,"Pereira and Barbosa et al. 2021, Hammond 1995, Guimarães 2008",
Anacardium spruceanum,Anacardium braziliense,Anacardiaceae,W,Brown/Orange/Red,F,I,1,None Specified,,,,1,,Range,14,25,,0,,Range,10,22,,0,,,,,,,,,Range,37,48,,0,,Range,30,42,,0,,,,,,,,Pereira and Barbosa et al. 2021,
Ananas ananassoides,"Acanthostachys ananassoides, Ananas comosus, Ananas microstachys, Ananas sativus, Ananas genesio-linsii, Ananas guaraniticus, Ananas nanus, Ananas pancheanus",Bromeliaceae,W,Yellow,F,I,4.34,SE,,,0.05,30,4.56,SE,,,0.09,30,2.25,SE,,,0.08,30,0.061,D,Unknown +/-,,,0.01,4,91.92,SE,,,0.76,30,68.68,SD,,,0.97,30,700,NA,None Specified,,,,0,"Lidueña-Peréz 2024, Silveira 2010, Guimarães 2008",
Ananas ananassoides,,,,,,,,,,,,,4,None Specified,,,,0,2.5,None Specified,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lidueña-Peréz 2024, Silveira 2010, Guimarães 2008",
Andira surinamensis,"Geoffroea surinamensis, Vouacapoua surinamensis, Andira retusa, Geoffroea retusa, Andira oblonga, Geoffroea obtusifolia, Geoffroea pubescens, Geoffroea retusa, Vouacapoa retusa",Fabaceae,W,Green,F,I,,Range,2,3,,0,,Range,20,35,,0,,Range,15,25,,0,,,,,,,,,Range,40,60,,0,,Range,20,38,,0,20,D,None Specified,,,,0,"Pennington 2003, Ramos et al. 2020, Polak 1992",
Annona cornifolia,Annona walkeri,Annonaceae,W,Orange,F,I,40.5,None Specified,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,W,None Specified,,,,0,Motta-Junior 2002,
Annona dioica,"Aberemoa dioica, Annona cuyabaensis",Annonaceae,W,Green,F,I,,,,,,,,,,,,,,,,,,,0.32,W,SD,,,0.06,10,92.7,Unknown +/-,,,4.4,30,75.1,Unknown +/-,,,5.2,30,250,W,Unknown +/-,,,22.7,30,"Galetti 2015, Donatti 2007",
Annona duckei,,Annonaceae,,,F,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annona haematantha,,Annonaceae,W,Yellow,F,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anomospermum reticulatum,Cocculus reticulatus,Menispermaceae,W,Orange,F,I,,,,,,,31.4,None Specified,,,,405,22.5,None Specified,,,,405,6.98,D,None Specified,,,,405,18.975,SD,,,0.780491298,4,11.15,SD,,,1.268857754,4,,,,,,,,"Ramírez et al. 2013, Tobler 2008, http://legacy.tropicos.org/Image/101332957",
Anomospermum reticulatum,,,,,,,,,,,,,,,,,,,,,,,,,4.93,NA,None Specified,,,,1,,,,,,,,,,,,,,,,,,,,"Ramírez et al. 2013, Tobler 2008, http://legacy.tropicos.org/Image/101332957",
Anthurium crassinervium,"Podospadix reticulata, Pothos crassinervius",Araceae,W,Red,F,I,,,,,,,,,,,,,,,,,,,,,,,,,,6.533333333,SD,,,1.569500982,3,3.8,SD,,,0.346410162,3,,,,,,,,http://legacy.tropicos.org/Image/101169850?projectid=56,
Anthurium harrisii,"Pothos harrisii, Podospadix harrisii, Anthurium assimile, Anthurium consanguineum, Anthurium longifolium, Anthurium scolopendroides, Anthurium undulatum, Pothos rubricaulis",Araceae,W,Green,F,I,2,None Specified,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Júnior 2021,
Apeiba aspera,Apeiba glabra,Malvaceae,W,Brown,D,D,167,None Specified,,,,6,,Range,3,5,,100,2,None Specified,,,,6,0.02,W,None Specified,,,,0,56.75,SD,,,27.36503243,2,,Range,20,30,,0,10.6,D,None Specified,,,,6,"Marthews 2008, Stevenson 2007, Stevenson 2002, Sautu 2004, Zambrano 2006, Dorr 2012",
Apeiba aspera,,,,,,,,,,,,,1.883333333,SD,,,0.194079022,6,1.18,SD,,,0.083666003,5,0.0142,W,SD,,,0.0038,100,,Range,50,70,,0,51,SD,,,35.63818177,2,14.4,W,None Specified,,,,6,"Marthews 2008, Stevenson 2007, Stevenson 2002, Sautu 2004, Zambrano 2006, Dorr 2012",
Araucaria angustifolia,,Araucaria,W,Brown,D,I,150,None Specified,,,,0,49.3,SE,,,1.16,8,14.8,SE,,,0.7,8,6.7,NA,None Specified,,,,0,150,None Specified,,,,0,150,None Specified,,,,0,2300,NA,None Specified,,,,0,"Guimarães 2008, Peralta 2016, Shibata 2013, Lima 2007, Ferreira 1979, Mantovani 2004",
Araucaria angustifolia,,,,,,,93.9,SD,,,21,31,50,None Specified,,,,0,10,None Specified,,,,0,8.7,NA,None Specified,,,,0,,,,,,,,,,,,,,NA,Range,610,4700,,0,"Guimarães 2008, Peralta 2016, Shibata 2013, Lima 2007, Ferreira 1979, Mantovani 2004",
Araucaria angustifolia,,,,,,,80.7,SD,,,25.2,90,,Range,30,80,,0,,Range,10,25,,0,6.58,NA,SD,,,1.4,560,,,,,,,,,,,,,,,,,,,,"Guimarães 2008, Peralta 2016, Shibata 2013, Lima 2007, Ferreira 1979, Mantovani 2004",
Araucaria angustifolia,,,,,,,,,,,,,55.2,None Specified,,,,1,17.9,None Specified,,,,1,7,NA,SD,,,1.6,1800,,,,,,,,,,,,,,,,,,,,"Guimarães 2008, Peralta 2016, Shibata 2013, Lima 2007, Ferreira 1979, Mantovani 2004",
Artocarpus heterophyllus,,Moraceae,NW,Yellow,F,I,,Range,100,500,,0,,Range,20,40,,0,,Range,10,20,,0,,NA,Range,2.5,14,,0,,Range,300,1000,,0,,Range,250,500,,0,,,,,,,,"Lazure 2010, https://books.google.com/books?hl=en&lr=&id=NwcKlmkud6UC&oi=fnd&pg=PR1&dq=%22Artocarpus+heterophyllus%22+AND+fruit&ots=nZN0RhVlgb&sig=dE2JCQ0ts3WXIhz0z6iCbnQKJVE#v=onepage&q=heterophyllus&f=false",
Artocarpus heterophyllus,,,,,,,,Range,20,50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lazure 2010, https://books.google.com/books?hl=en&lr=&id=NwcKlmkud6UC&oi=fnd&pg=PR1&dq=%22Artocarpus+heterophyllus%22+AND+fruit&ots=nZN0RhVlgb&sig=dE2JCQ0ts3WXIhz0z6iCbnQKJVE#v=onepage&q=heterophyllus&f=false",
Artocarpus heterophyllus,,,,,,,,Range,50,200,,0,31,SE,,,2,558,,,,,,,,,,,,,,500,None Specified,,,,0,340,None Specified,,,,0,,,,,,,,"Lazure 2010, https://books.google.com/books?hl=en&lr=&id=NwcKlmkud6UC&oi=fnd&pg=PR1&dq=%22Artocarpus+heterophyllus%22+AND+fruit&ots=nZN0RhVlgb&sig=dE2JCQ0ts3WXIhz0z6iCbnQKJVE#v=onepage&q=heterophyllus&f=false",
Astrocaryum aculeatissimum,,Arecaceae,NW,Brown,F,I,1,None Specified,,,,0,42.7,None Specified,,,,0,28.8,None Specified,,,,0,17.36,NA,None Specified,,,,0,47.9,None Specified,,,,0,32.2,None Specified,,,,0,28.7,NA,None Specified,,,,0,"Galetti 2011, Galetti 2015, Guimarães 2008, Kissling 2019, Donatti 2009",
